Row Label,County,Mary Yu,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-1918,KI,128,347,84,212,0,0
SEA 37-1919,KI,109,378,95,207,0,3
SEA 37-1914,KI,221,523,142,364,0,1
RNT 11-3563,KI,155,625,121,277,0,1
SEA 37-1916,KI,144,357,116,261,0,1
SEA 37-1917,KI,199,454,110,311,0,2
SEA 37-1910,KI,181,513,142,329,0,6
SEA 37-1911,KI,117,284,74,191,0,0
RNT 11-3564,KI,130,491,115,246,0,1
SEA 37-1913,KI,146,338,92,239,0,1
BUR 34-0033,KI,185,682,121,309,0,3
M-I 41-0755,KI,84,265,88,172,0,0
LAKE MORTON,KI,89,232,59,151,0,3
ISS 05-3634,KI,102,422,84,190,0,4
RNT 11-2583,KI,224,838,142,368,0,2
RNT 11-2582,KI,190,795,76,270,0,4
HOLLYWOOD,KI,190,538,167,359,0,2
SEA 43-1339,KI,102,298,81,187,1,3
M-V 05-3510,KI,132,381,80,213,0,1
BEL 41-3593,KI,118,534,62,182,0,2
SEA 43-1338,KI,165,449,136,302,0,1
SEA 34-3632,KI,63,271,35,99,0,1
KEN 11-0893,KI,127,580,80,209,0,2
BEL 41-3608,KI,224,714,124,349,0,1
SAM 41-2690,KI,150,526,119,271,0,2
RNT 11-0988,KI,117,437,52,172,0,3
RNT 11-0985,KI,98,325,66,167,0,3
RNT 11-0984,KI,89,279,51,140,0,0
RNT 11-0986,KI,207,719,139,349,0,3
RNT 11-0981,KI,268,794,126,399,0,5
RNT 11-0980,KI,61,333,25,90,0,4
AUB 47-2573,KI,272,679,111,391,1,7
KEN 33-0578,KI,142,501,64,207,0,1
KEN 33-0576,KI,105,394,56,165,0,4
KEN 33-0577,KI,107,371,62,170,0,1
KEN 33-0575,KI,105,413,48,153,0,0
BERRYDALE,KI,136,505,140,277,0,1
LOUIE,KI,141,512,90,236,0,5
M-V 05-3600,KI,160,616,110,270,0,0
M-V 05-3601,KI,154,496,82,239,0,3
BEL 41-0733,KI,172,718,140,315,0,3
GOLDFINCH,KI,103,281,62,165,0,0
ENM 31-0409,KI,102,379,93,196,0,1
LAKE RETREAT,KI,178,654,161,347,0,8
CLOVER,KI,174,594,120,299,0,5
SEA 37-1898,KI,87,285,69,158,0,2
RNT 11-1125,KI,173,661,94,268,0,1
HERON,KI,146,424,73,222,0,3
COV 47-3597,KI,78,293,63,150,0,9
RNT 33-2472,KI,171,587,77,252,0,4
CHINOOK,KI,195,671,159,357,0,3
SEA 34-1476,KI,97,273,73,170,0,0
AUB 31-3299,KI,77,248,76,155,0,2
SEA 34-1474,KI,119,402,108,227,0,0
BROKEN HILL,KI,166,639,101,268,0,1
SEA 11-1600,KI,156,550,99,257,0,2
SEA 43-1787,KI,161,564,114,277,0,2
SEA 11-1602,KI,159,598,124,288,0,5
SEA 34-1475,KI,99,311,75,176,0,2
SEA 34-1543,KI,126,327,91,218,0,1
SEA 34-1540,KI,93,333,83,176,0,0
SEA 34-1541,KI,113,380,121,235,0,1
SEA 34-1472,KI,100,239,71,171,0,0
SALISH,KI,253,674,162,418,0,3
SEA 43-1788,KI,403,807,176,580,0,1
SEA 34-1473,KI,116,319,64,180,0,0
ALG 30-0014,KI,165,486,60,229,0,4
KIR 01-0019,KI,271,752,161,433,0,1
SEA 37-3666,KI,96,422,30,128,0,2
SEA 34-1470,KI,217,677,131,352,0,4
ALG 30-0013,KI,101,467,49,153,0,3
CALHOUN,KI,157,574,69,236,0,10
RED 48-3475,KI,131,356,76,210,0,3
COLVOS,KI,95,250,58,153,0,0
RNT 11-0502,KI,215,703,127,346,0,4
LFP 46-1075,KI,125,366,92,217,0,0
SEA 32-2206,KI,163,412,101,266,0,2
SEA 46-2316,KI,141,411,98,239,0,0
SEA 32-2204,KI,135,339,93,230,0,2
SEA 46-2314,KI,144,337,69,217,0,4
SEA 32-2202,KI,139,436,109,250,0,2
COV 47-3581,KI,106,385,72,180,0,2
SEA 32-2200,KI,160,385,103,263,0,0
SEA 32-2201,KI,194,463,119,315,0,2
BEL 48-0207,KI,109,327,75,186,0,2
BEL 48-0201,KI,181,512,110,293,0,2
SEA 32-2208,KI,117,350,105,224,0,2
SEA 32-2209,KI,235,599,165,402,0,2
SEA 34-1438,KI,133,328,76,209,0,0
SEA 34-1439,KI,122,369,92,220,0,6
SEA 34-1432,KI,126,331,91,218,0,1
SEA 34-1433,KI,114,319,93,208,0,1
KEN 47-3323,KI,135,459,82,218,0,1
SEA 34-1431,KI,123,308,79,203,0,1
SEA 34-1436,KI,83,362,73,156,0,0
SEA 34-1437,KI,128,498,124,254,0,2
SEA 34-1434,KI,104,271,77,183,0,2
SEA 34-1435,KI,84,299,92,178,0,2
KEN 47-2403,KI,109,466,57,171,0,5
SAM 41-3638,KI,198,717,142,346,0,6
SAM 45-2564,KI,242,749,173,418,0,3
FAIRMONT,KI,109,394,104,216,0,3
CHALLENGER,KI,113,293,72,185,0,0
BEL 48-0149,KI,140,416,91,234,0,3
BEL 48-0142,KI,98,299,60,159,0,1
BEL 48-0143,KI,93,291,57,152,0,2
BEL 48-0140,KI,152,425,80,234,0,2
BEL 48-0146,KI,106,298,67,173,0,0
BEL 48-0147,KI,111,444,94,207,0,2
BEL 48-0144,KI,98,320,69,169,0,2
BEL 48-0145,KI,84,274,53,137,0,0
SEA 46-2228,KI,134,486,94,234,0,6
SEA 46-2221,KI,159,513,137,298,0,2
DES 30-1227,KI,230,635,145,378,0,3
SHL 32-2753,KI,125,465,55,184,0,4
DANIEL,KI,184,574,127,323,0,12
ISS 05-2806,KI,136,399,106,243,0,1
SAM 45-3412,KI,250,738,154,406,0,2
JAY,KI,147,492,132,280,0,1
SHL 32-1210,KI,171,535,110,284,0,3
SEA 37-1944,KI,219,754,105,326,0,2
SEA 36-1386,KI,109,315,100,213,0,4
SEA 36-1387,KI,169,462,116,289,0,4
SEA 36-1384,KI,133,309,90,228,0,5
SEA 36-1385,KI,84,243,88,175,0,3
AUB 31-0082,KI,130,403,71,203,0,2
AUB 31-0083,KI,133,487,94,229,0,2
AUB 31-0080,KI,258,830,149,414,0,7
AUB 31-0081,KI,137,457,60,199,0,2
SEA 36-1388,KI,112,337,108,220,0,0
SEA 36-1389,KI,94,259,68,163,0,1
TUK 11-3393,KI,89,347,28,119,0,2
HONEY,KI,32,102,25,57,0,0
KEN 33-3332,KI,239,863,195,437,0,3
KEN 47-0798,KI,237,742,157,394,0,0
SET 33-3069,KI,92,353,74,169,0,3
SET 33-3068,KI,126,464,102,228,0,0
SKY 39-1091,KI,39,130,35,74,0,0
SET 33-3066,KI,114,491,64,179,0,1
KEN 33-3445,KI,119,375,65,188,0,4
SET 33-3064,KI,114,468,52,167,0,1
SET 33-3063,KI,110,330,62,173,0,1
SET 33-3062,KI,101,316,54,155,0,0
SET 33-3061,KI,102,340,62,166,0,2
SEA 37-1630,KI,92,309,76,169,0,1
KEN 33-2426,KI,185,550,112,298,0,1
SEA 43-1976,KI,62,242,32,94,0,0
SHL 32-1106,KI,189,585,108,299,0,2
BEL 41-2554,KI,202,645,140,343,0,1
SEA 43-3320,KI,144,515,94,241,0,3
SHL 32-1101,KI,87,301,70,157,0,0
SEA 37-1622,KI,152,578,74,226,0,0
BUR 33-0805,KI,187,591,79,270,0,4
SEA 36-1709,KI,95,359,57,154,0,2
COOPER,KI,163,473,114,278,0,1
SEA 36-1702,KI,187,606,179,372,0,6
SEA 36-1703,KI,198,530,140,340,0,2
SEA 36-1700,KI,132,383,76,208,0,0
DOLPHIN,KI,113,275,67,183,0,3
SEA 36-1704,KI,157,640,92,251,0,2
SEA 46-2094,KI,110,283,68,178,0,0
SEA 46-2095,KI,90,279,95,187,0,2
SEA 46-2096,KI,95,230,67,162,0,0
SEA 46-2097,KI,136,400,121,257,0,0
SEA 46-2090,KI,158,494,103,262,0,1
SEA 46-2091,KI,157,451,105,265,0,3
SEA 46-2092,KI,132,311,92,225,0,1
SEA 36-2750,KI,126,458,67,198,0,5
SEA 34-1497,KI,210,728,121,336,0,5
SEA 46-2098,KI,161,436,123,285,0,1
DOLLOFF,KI,127,412,95,223,0,1
LOIS,KI,142,566,91,237,0,4
SHL 32-0538,KI,134,425,84,219,0,1
SEA 46-2263,KI,218,599,173,396,0,5
BEL 48-3166,KI,183,561,94,278,0,1
SHL 32-0530,KI,105,282,73,179,0,1
BEL 48-3498,KI,91,239,62,153,0,0
AUB 31-0069,KI,101,314,58,159,0,0
SEA 36-2147,KI,183,489,152,338,0,3
SEA 36-2146,KI,97,338,101,199,0,1
AUB 31-0062,KI,229,660,101,332,0,2
AUB 31-0063,KI,92,279,37,130,0,1
AUB 31-0064,KI,93,408,30,125,0,2
AUB 31-0065,KI,82,288,41,125,0,2
COV 47-3244,KI,139,466,60,204,0,5
SEA 46-2345,KI,107,294,89,196,0,0
ALDERWOOD,KI,165,440,112,284,0,7
RED 45-2643,KI,156,433,94,254,0,4
BEL 41-3291,KI,86,292,71,159,0,2
SEA 37-1920,KI,219,574,117,339,0,3
SEA 37-1925,KI,94,319,57,153,0,2
SEA 37-1927,KI,123,409,90,216,0,3
RNT 11-2816,KI,188,578,104,297,0,5
SEA 43-1999,KI,157,439,112,270,0,1
SEA 43-1993,KI,106,238,40,147,0,1
SEA 43-1992,KI,198,652,207,410,0,5
SEA 43-1991,KI,286,839,198,487,0,3
SEA 43-1990,KI,155,458,103,260,0,2
SEA 43-1997,KI,117,295,76,194,0,1
SEA 43-1996,KI,109,298,82,193,0,2
SEA 43-1995,KI,91,244,71,163,0,1
SEA 43-1994,KI,133,295,64,197,0,0
RNT 11-3224,KI,132,457,78,214,0,4
BUR 34-0025,KI,215,734,135,352,0,2
RNT 11-3223,KI,70,294,43,114,0,1
RNT 11-3222,KI,169,581,121,295,0,5
MARCEL,KI,111,371,94,207,0,2
RNT 11-2607,KI,126,631,69,196,0,1
SAM 45-3388,KI,232,698,156,389,0,1
SAM 45-3389,KI,308,762,151,460,0,1
SEA 43-3685,KI,101,258,55,158,0,2
DES 33-1078,KI,84,354,64,150,0,2
SAM 45-3386,KI,235,784,161,398,0,2
SAM 45-3387,KI,146,402,97,244,0,1
LAKERIDGE,KI,261,751,147,411,0,3
BEL 41-3583,KI,243,675,142,386,0,1
BEL 41-0129,KI,101,316,47,148,0,0
BEL 41-0128,KI,180,494,115,295,0,0
MCDONALD,KI,156,525,125,285,0,4
BEL 41-0124,KI,195,505,110,308,0,3
BEL 41-0123,KI,202,748,113,323,0,8
BEL 41-0122,KI,136,391,77,213,0,0
BEL 41-0121,KI,147,501,78,231,0,6
BEL 41-0120,KI,89,248,67,157,0,1
SNQ 05-3151,KI,170,627,123,297,0,4
RNT 11-3359,KI,140,487,44,188,0,4
RNT 11-0992,KI,84,295,43,127,0,0
RNT 11-0990,KI,135,448,63,199,0,1
RNT 11-0996,KI,161,562,93,257,0,3
RNT 11-0997,KI,210,875,115,328,1,2
RNT 11-3643,KI,118,363,60,180,0,2
RNT 11-0998,KI,116,363,54,171,1,0
WAXWING,KI,96,295,81,178,0,1
KEN 33-0583,KI,118,371,84,203,0,1
KEN 33-0582,KI,221,843,135,359,0,3
KEN 33-0581,KI,220,684,91,311,0,0
KEN 33-0587,KI,127,470,79,209,0,3
KEN 33-0586,KI,167,437,89,256,0,0
KEN 33-0585,KI,144,569,76,224,0,4
KEN 33-0588,KI,96,317,60,157,0,1
HUCKLEBERRY,KI,129,420,93,227,0,5
SEA 43-3595,KI,209,535,111,322,0,2
MINK ROAD,KI,146,424,111,260,0,3
RED 45-3282,KI,266,707,156,425,0,3
RED 45-3281,KI,204,633,105,312,0,3
LFP 46-0397,KI,120,397,82,204,0,2
BUR 33-0251,KI,89,386,83,174,0,2
SHL 32-0844,KI,165,431,110,276,0,1
SEA 43-1379,KI,97,263,89,187,0,1
SEA 43-1378,KI,116,308,101,219,0,2
SEA 43-1377,KI,120,330,86,207,0,1
SEA 43-1376,KI,179,541,131,312,0,2
SEA 43-1375,KI,122,327,96,222,0,4
SEA 43-1374,KI,108,295,97,205,0,0
SEA 43-1373,KI,140,335,98,243,0,5
SEA 43-1372,KI,118,335,104,224,0,2
SEA 43-1371,KI,103,288,63,166,0,0
SEA 43-1370,KI,134,332,103,237,0,0
LFP 46-0400,KI,185,519,129,315,0,1
ISS 05-3464,KI,217,829,158,376,0,1
HUTCHINSON,KI,240,678,184,427,1,2
BEL 41-1052,KI,162,462,95,257,0,0
SAWYER,KI,212,594,168,382,0,2
SAM 41-3607,KI,142,498,112,259,0,5
SEA 11-1639,KI,120,551,73,193,0,0
SEA 43-3665,KI,115,379,68,184,0,1
KEN 47-2939,KI,79,314,40,121,0,2
NOVELTY,KI,185,605,151,336,0,0
BUR 34-1047,KI,223,744,129,355,0,3
BEL 41-2970,KI,218,714,163,384,0,3
SEA 43-1368,KI,95,292,88,184,0,1
MAY VALLEY,KI,139,492,105,246,0,2
BEL 48-0212,KI,237,620,65,303,0,1
BEL 48-0213,KI,131,395,40,175,0,4
SEA 46-2306,KI,114,307,80,195,0,1
SEA 46-2127,KI,170,494,107,278,0,1
BEL 48-0216,KI,93,256,47,140,0,0
BEL 48-0217,KI,127,404,57,184,0,0
BEL 48-0214,KI,89,274,41,130,0,0
SEA 46-2303,KI,157,422,124,284,0,3
BEL 48-0218,KI,220,546,118,338,0,0
SEA 46-2308,KI,127,377,101,230,0,2
SEA 46-2309,KI,109,300,75,184,0,0
GRASS LAKE,KI,154,374,79,235,0,2
SEA 34-1449,KI,106,367,105,213,0,2
RNT 11-0456,KI,194,635,90,291,0,7
SEA 34-1446,KI,124,398,112,237,0,1
SEA 34-1444,KI,219,595,142,365,0,4
SEA 34-1443,KI,155,380,111,266,0,0
SEA 11-1256,KI,162,627,78,242,0,2
SEA 34-1441,KI,90,264,63,156,0,3
SEA 34-1440,KI,73,242,76,149,0,0
SEA 43-1367,KI,139,375,110,253,0,4
SEA 43-2088,KI,225,694,135,361,0,1
SEA 43-2089,KI,34,341,31,65,0,0
SHADOW LAKE,KI,182,610,147,334,0,5
SEA 43-2084,KI,268,668,172,445,0,5
SEA 43-2081,KI,25,385,10,35,0,0
SEA 43-1361,KI,129,417,107,238,0,2
KEN 47-2599,KI,220,748,122,345,0,3
BEL 48-0138,KI,103,393,74,179,0,2
BEL 48-0136,KI,76,274,37,113,0,0
BEL 48-0135,KI,76,256,51,127,0,0
BEL 48-0134,KI,98,324,44,143,0,1
BEL 48-0133,KI,93,307,48,143,0,2
BEL 48-0132,KI,77,249,56,134,0,1
AUB 31-3405,KI,206,662,116,322,0,0
SEA 46-2231,KI,208,619,153,366,0,5
SEA 46-2234,KI,95,274,84,182,0,3
SEA 46-2236,KI,118,350,99,218,0,1
SEA 46-2796,KI,123,456,101,229,0,5
SQUAK MOUNTAIN,KI,68,188,47,115,0,0
DES 33-3131,KI,73,266,46,119,0,0
SNQ 05-3558,KI,138,487,95,236,0,3
SEA 46-2153,KI,124,492,104,231,0,3
SEA 46-2152,KI,95,378,95,192,0,2
LAKELAND,KI,146,527,98,248,0,4
AUB 47-0328,KI,261,684,133,397,0,3
KEN 47-1034,KI,222,745,133,356,0,1
FAIRGLEN,KI,164,442,94,258,0,0
GENEVA,KI,119,408,94,218,0,5
KEN 11-3403,KI,172,549,91,264,0,1
SET 33-3075,KI,66,289,49,116,0,1
SET 33-3076,KI,191,623,113,310,0,6
SET 33-3070,KI,99,340,72,173,0,2
AUB 30-0046,KI,114,351,53,169,0,2
SEA 36-1288,KI,158,391,105,265,0,2
SEA 36-1287,KI,290,733,190,481,0,1
SEA 36-1286,KI,148,439,103,254,0,3
ENM 31-0411,KI,244,765,161,410,0,5
SHL 32-0444,KI,163,438,96,260,0,1
SEA 37-1652,KI,83,287,72,157,0,2
SEA 37-1651,KI,184,736,71,256,0,1
SEA 37-1650,KI,89,260,85,175,0,1
SEA 36-1775,KI,196,711,128,327,0,3
SEA 36-1774,KI,200,494,145,347,0,2
BUR 33-0818,KI,197,753,121,319,0,1
SEA 36-1772,KI,157,534,125,284,0,2
SEA 36-1771,KI,147,487,97,248,0,4
SEA 36-1770,KI,95,234,64,159,0,0
SERENIDAD,KI,195,746,119,317,0,3
ISS 41-3533,KI,171,507,83,254,0,0
AUB 47-0072,KI,174,525,115,289,0,0
AUB 47-0073,KI,169,687,68,244,0,7
AUB 47-0074,KI,207,569,87,294,0,0
GROUSEMONT,KI,220,593,175,396,0,1
REGAL,KI,201,788,117,321,0,3
RED 45-2410,KI,315,822,213,533,0,5
SAM 45-2620,KI,168,491,132,305,0,5
KMR 46-2444,KI,141,418,93,237,0,3
SEA 43-3262,KI,99,306,78,177,0,0
M-I 41-2808,KI,114,263,72,188,0,2
M-I 41-2809,KI,96,240,55,152,0,1
RED 45-2659,KI,55,154,34,89,0,0
AUB 31-0054,KI,150,527,60,214,0,4
AUB 31-0051,KI,125,530,40,166,0,1
AUB 31-0050,KI,116,421,67,188,0,5
M-I 41-0790,KI,74,246,70,147,0,3
KRAIN,KI,191,565,178,372,0,3
SEA 43-1783,KI,143,455,99,243,0,1
SEA 43-3570,KI,279,1056,146,429,0,4
SEA 46-2300,KI,188,490,136,327,0,3
SEA 36-3605,KI,143,535,101,249,0,5
SEA 37-1937,KI,111,293,101,212,0,0
SEA 11-3491,KI,0,0,0,0,0,0
SEA 37-1935,KI,115,291,89,204,0,0
SEA 37-1932,KI,131,416,85,218,0,2
SEA 37-1930,KI,244,738,144,391,0,3
SEA 37-1938,KI,140,394,103,247,0,4
KIR 45-0925,KI,116,312,50,167,0,1
SEA 37-1915,KI,153,384,102,260,0,5
SEA 43-1982,KI,161,501,102,266,0,3
SEA 43-1983,KI,201,497,111,313,0,1
TUK 11-3614,KI,19,56,9,28,0,0
SEA 43-1986,KI,92,278,69,163,0,2
LFP 46-0092,KI,207,646,130,341,0,4
MATTHEW,KI,119,461,119,243,0,5
SEA 43-3692,KI,0,0,0,0,0,0
SEA 43-3690,KI,10,38,7,17,0,0
ASPEN GLEN,KI,134,396,94,232,0,4
BUR 33-0009,KI,93,277,26,119,0,0
BEL 41-0131,KI,115,417,61,178,0,2
SEA 43-1863,KI,141,475,110,255,0,4
BEL 41-3621,KI,176,525,114,291,0,1
BUR 33-1067,KI,265,866,156,427,0,6
BEL 41-3330,KI,78,309,67,146,0,1
TUK 11-2752,KI,136,490,108,249,0,5
BAKER,KI,214,599,130,347,0,3
SNQ 05-3513,KI,273,896,185,463,0,5
TUK 11-2751,KI,73,273,63,136,0,0
KEN 33-0590,KI,233,755,128,372,1,10
KEN 33-0591,KI,88,274,50,140,0,2
KEN 33-0592,KI,50,208,30,81,0,1
KEN 33-0593,KI,97,231,42,140,0,1
KEN 33-0594,KI,99,366,88,189,0,2
KEN 33-0595,KI,94,488,44,139,0,1
KEN 33-0596,KI,162,550,126,289,0,1
KEN 33-0597,KI,153,688,82,239,0,4
KEN 33-0598,KI,128,473,72,201,0,1
ISS 05-3504,KI,153,610,113,267,0,1
ISS 05-3503,KI,123,504,113,240,0,4
ANGELO,KI,123,425,108,232,0,1
SEA 46-2056,KI,134,330,91,228,0,3
BUR 34-1116,KI,123,387,65,192,0,4
SEA 46-2057,KI,178,443,132,310,0,0
BEL 41-0220,KI,181,420,78,262,0,3
SHL 32-0875,KI,200,557,113,315,0,2
FED 30-3085,KI,153,416,101,257,0,3
LFP 46-0655,KI,268,679,155,426,0,3
LFP 46-0654,KI,196,471,110,307,0,1
LFP 46-0653,KI,168,412,115,285,0,2
LFP 46-0652,KI,89,230,67,156,0,0
LFP 46-0650,KI,121,354,97,221,0,3
KEN 47-3189,KI,148,732,56,206,0,2
SEA 43-1369,KI,95,285,69,165,0,1
SEA 43-1364,KI,180,535,140,321,0,1
NEW 41-3241,KI,228,699,142,373,0,3
SEA 43-1366,KI,99,287,86,186,0,1
LITTLE SOOS,KI,171,463,92,268,0,5
SEA 43-1360,KI,251,622,125,379,0,3
KEN 47-3180,KI,126,541,61,187,0,0
SEA 43-1362,KI,181,660,165,351,0,5
RNT 11-1109,KI,111,484,66,180,0,3
SEA 46-2330,KI,136,420,94,232,0,2
TOLT,KI,111,317,73,188,0,4
NATHAN,KI,148,507,142,297,0,7
DUV 45-2959,KI,167,514,100,267,0,0
SNQ 05-1097,KI,95,402,80,177,0,2
SEA 11-1624,KI,135,577,70,208,0,3
MABEL,KI,124,331,85,212,0,3
BUR 34-1058,KI,187,493,124,315,0,4
BUR 34-1059,KI,211,614,108,321,0,2
BUR 34-1057,KI,236,660,185,423,0,2
BOT 01-2495,KI,187,580,114,304,0,3
SEA 46-2339,KI,92,330,74,171,0,5
FED 30-3080,KI,120,499,48,172,0,4
LFP 46-1056,KI,198,536,132,332,0,2
FED 30-3087,KI,161,508,94,259,0,4
FED 30-3086,KI,181,526,96,279,0,2
FED 30-3088,KI,175,538,83,263,0,5
SEA 46-2333,KI,127,371,91,221,0,3
SEA 46-2332,KI,86,248,78,165,0,1
SEA 46-2335,KI,172,609,94,268,0,2
SEA 46-2334,KI,201,573,140,343,0,2
SEA 46-2337,KI,118,347,64,185,0,3
SEA 46-2336,KI,204,707,143,350,0,3
KIR 45-3640,KI,95,311,55,152,0,2
KIR 45-3646,KI,69,276,30,101,0,2
SEA 34-1458,KI,141,376,105,246,0,0
SEA 34-1459,KI,100,272,73,175,0,2
SEA 34-1454,KI,97,306,81,180,0,2
SEA 34-1455,KI,262,956,164,428,0,2
SEA 34-1456,KI,155,428,92,248,0,1
SEA 34-1457,KI,236,687,149,385,0,0
SEA 34-1450,KI,117,301,69,188,0,2
SEA 34-1451,KI,116,330,62,178,0,0
SEA 34-1452,KI,91,275,79,170,0,0
SEA 34-1453,KI,101,264,72,174,0,1
SHL 32-0296,KI,126,377,74,201,0,1
SAM 41-3654,KI,183,475,101,287,0,3
COV 47-2982,KI,154,553,96,251,0,1
SEA 32-2216,KI,110,338,93,203,0,0
KEN 47-2585,KI,267,819,162,431,0,2
BEL 48-0125,KI,134,405,65,201,0,2
BEL 48-0126,KI,112,354,85,198,0,1
BEL 48-0127,KI,111,393,48,161,0,2
RNT 11-2581,KI,185,668,128,322,0,9
FED 30-3395,KI,88,272,51,143,0,4
RAVENSDALE,KI,146,497,103,252,0,3
BUR 34-0900,KI,120,391,74,194,0,0
SEA 37-3647,KI,98,447,47,146,0,1
KEN 47-1151,KI,139,398,90,229,0,0
SEA 32-2537,KI,121,396,92,213,0,0
SEA 32-2539,KI,267,788,175,447,0,5
BEL 48-0694,KI,182,556,94,279,0,3
SEA 46-2142,KI,221,674,133,357,0,3
SEA 46-2143,KI,103,285,58,163,0,2
SEA 46-2145,KI,165,497,129,297,0,3
MERGANSER,KI,217,627,132,351,0,2
DIAMOND,KI,69,227,51,120,0,0
M-V 05-0528,KI,177,344,88,266,0,1
CAR 05-3290,KI,168,515,138,309,0,3
SHL 32-1038,KI,94,254,41,136,0,1
AUB 30-0053,KI,129,437,53,185,0,3
SEA 43-1334,KI,137,446,120,262,0,5
SNO-VALLEY,KI,234,760,168,408,0,6
JEFFERSON,KI,249,829,152,404,0,3
SAM 41-0307,KI,151,525,139,291,0,1
SEA 34-3682,KI,115,386,76,192,0,1
