Row Label,County,Linda Lau,Registered Voters,Times Blank Voted,Times Counted,Times Over Voted,Write-in
SEA 37-1636,KI,146,586,66,217,0,5
SEA 37-1631,KI,91,301,95,187,0,1
GRAFF,KI,29,105,35,64,0,0
SEA 37-1633,KI,88,329,74,163,0,1
SEA 37-1632,KI,92,292,79,173,0,2
SEA 36-1715,KI,81,355,88,172,0,3
SEA 36-1714,KI,157,526,162,321,0,2
SEA 36-1717,KI,68,251,66,134,0,0
SEA 36-1716,KI,77,357,98,177,0,2
SEA 36-1711,KI,196,760,180,379,0,3
SEA 36-1710,KI,80,351,75,157,0,2
SEA 36-1713,KI,86,362,88,176,0,2
SEA 36-1712,KI,150,463,119,269,0,0
KMR 46-1181,KI,95,295,70,169,0,4
SEA 36-1719,KI,164,510,133,299,0,2
SEA 36-1718,KI,77,318,77,155,0,1
TUK 11-2949,KI,142,585,81,225,0,2
AUB 47-0059,KI,204,678,160,365,0,1
RNT 11-2815,KI,136,677,78,215,0,1
KIR 45-2679,KI,188,614,190,379,0,1
AUB 47-0055,KI,92,391,63,156,0,1
SEA 11-1928,KI,59,298,81,145,0,5
SEA 43-2850,KI,90,359,91,182,0,1
SHL 32-0527,KI,177,626,93,274,0,4
KIR 45-2471,KI,267,720,183,453,0,3
KEN 47-0498,KI,62,231,31,94,0,1
SHL 32-0335,KI,119,414,73,195,0,3
PTARMIGAN,KI,107,344,81,195,0,7
SPRING LAKE,KI,199,745,231,431,0,1
SEA 36-2170,KI,133,450,152,285,0,0
SEA 36-2171,KI,157,491,170,329,0,2
SEA 36-2172,KI,101,319,110,214,0,3
AUB 31-0078,KI,106,404,87,193,0,0
ALDARRA,KI,212,711,222,434,0,0
SEA 46-2338,KI,155,543,104,260,0,1
BIG BEND,KI,61,216,63,124,0,0
AUB 31-0070,KI,189,655,75,267,0,3
KIR 45-2786,KI,128,351,108,236,0,0
SEA 46-2290,KI,86,289,109,195,0,0
WOD 45-3530,KI,225,692,137,364,0,2
SEA 46-2291,KI,116,387,87,204,0,1
BEL 48-2778,KI,92,243,56,148,0,0
BETTY,KI,177,775,85,263,0,1
BEL 48-2773,KI,78,287,64,142,0,0
BEL 48-2772,KI,110,345,94,205,0,1
SEA 46-2295,KI,153,481,157,310,0,0
BEL 48-2777,KI,64,229,25,89,0,0
BEL 48-2776,KI,168,495,103,274,0,3
BEL 48-2775,KI,139,478,120,264,0,5
BEL 48-2774,KI,115,434,71,186,0,0
SEA 36-3153,KI,113,390,74,187,0,0
MERLIN,KI,108,411,54,170,0,8
SEA 37-1918,KI,103,347,108,212,0,1
SEA 37-1919,KI,100,378,105,207,0,2
SEA 37-1914,KI,183,523,181,364,0,0
RNT 11-3563,KI,146,625,130,277,0,1
SEA 37-1916,KI,120,357,140,261,0,1
SEA 37-1917,KI,179,454,132,311,0,0
SEA 37-1910,KI,167,513,159,329,0,3
SEA 37-1911,KI,108,284,83,191,0,0
RNT 11-3564,KI,117,491,129,246,0,0
SEA 37-1913,KI,134,338,104,239,0,1
BUR 34-0033,KI,176,682,129,309,0,4
M-I 41-0755,KI,76,265,96,172,0,0
LAKE MORTON,KI,85,232,63,151,0,3
ISS 05-3634,KI,92,422,95,190,0,3
RNT 11-2583,KI,214,838,153,368,0,1
RNT 11-2582,KI,181,795,84,270,0,5
HOLLYWOOD,KI,183,538,173,359,0,3
SEA 43-1339,KI,82,298,101,187,0,4
M-V 05-3510,KI,126,381,87,213,0,0
BEL 41-3593,KI,112,534,68,182,0,2
SEA 43-1338,KI,141,449,160,302,0,1
SEA 34-3632,KI,60,271,38,99,0,1
KEN 11-0893,KI,124,580,82,209,0,3
BEL 41-3608,KI,212,714,137,349,0,0
SAM 41-2690,KI,137,526,134,271,0,0
RNT 11-0988,KI,113,437,57,172,0,2
RNT 11-0985,KI,95,325,69,167,0,3
RNT 11-0984,KI,80,279,60,140,0,0
RNT 11-0986,KI,201,719,144,349,0,4
RNT 11-0981,KI,253,794,143,399,0,3
RNT 11-0980,KI,54,333,32,90,0,4
AUB 47-2573,KI,263,679,122,391,0,6
KEN 33-0578,KI,134,501,70,207,0,3
KEN 33-0576,KI,99,394,63,165,0,3
KEN 33-0577,KI,108,371,60,170,0,2
KEN 33-0575,KI,106,413,47,153,0,0
BERRYDALE,KI,132,505,142,277,0,3
LOUIE,KI,134,512,99,236,0,3
M-V 05-3600,KI,147,616,123,270,0,0
M-V 05-3601,KI,147,496,89,239,0,3
BEL 41-0733,KI,163,718,150,315,0,2
GOLDFINCH,KI,91,281,73,165,0,1
ENM 31-0409,KI,96,379,99,196,0,1
LAKE RETREAT,KI,166,654,174,347,0,7
CLOVER,KI,170,594,123,299,0,6
SEA 37-1898,KI,79,285,79,158,0,0
RNT 11-1125,KI,166,661,100,268,0,2
HERON,KI,139,424,79,222,0,4
COV 47-3597,KI,75,293,68,150,0,7
RNT 33-2472,KI,159,587,89,252,0,4
CHINOOK,KI,190,671,166,357,0,1
SEA 34-1476,KI,80,273,89,170,0,1
AUB 31-3299,KI,72,248,82,155,0,1
SEA 34-1474,KI,110,402,117,227,0,0
BROKEN HILL,KI,164,639,102,268,0,2
SEA 11-1600,KI,133,550,122,257,0,2
SEA 43-1787,KI,148,564,127,277,0,2
SEA 11-1602,KI,139,598,143,288,0,6
SEA 34-1475,KI,89,311,84,176,0,3
SEA 34-1543,KI,116,327,102,218,0,0
SEA 34-1540,KI,84,333,91,176,0,1
SEA 34-1541,KI,97,380,137,235,0,1
SEA 34-1472,KI,86,239,85,171,0,0
SALISH,KI,242,674,173,418,0,3
SEA 43-1788,KI,361,807,216,580,0,3
SEA 34-1473,KI,106,319,74,180,0,0
ALG 30-0014,KI,157,486,69,229,0,3
KIR 01-0019,KI,257,752,176,433,0,0
SEA 37-3666,KI,89,422,37,128,0,2
SEA 34-1470,KI,200,677,146,352,0,6
ALG 30-0013,KI,102,467,49,153,0,2
CALHOUN,KI,162,574,68,236,0,6
RED 48-3475,KI,123,356,85,210,0,2
COLVOS,KI,91,250,62,153,0,0
RNT 11-0502,KI,210,703,132,346,0,4
LFP 46-1075,KI,118,366,99,217,0,0
SEA 32-2206,KI,143,412,120,266,0,3
SEA 46-2316,KI,128,411,111,239,0,0
SEA 32-2204,KI,126,339,102,230,0,2
SEA 46-2314,KI,122,337,93,217,0,2
SEA 32-2202,KI,130,436,117,250,0,3
COV 47-3581,KI,100,385,79,180,0,1
SEA 32-2200,KI,134,385,129,263,0,0
SEA 32-2201,KI,178,463,137,315,0,0
BEL 48-0207,KI,103,327,82,186,0,1
BEL 48-0201,KI,173,512,118,293,0,2
SEA 32-2208,KI,104,350,119,224,0,1
SEA 32-2209,KI,207,599,193,402,0,2
SEA 34-1438,KI,119,328,90,209,0,0
SEA 34-1439,KI,105,369,110,220,1,4
SEA 34-1432,KI,109,331,106,218,0,3
SEA 34-1433,KI,102,319,106,208,0,0
KEN 47-3323,KI,130,459,86,218,0,2
SEA 34-1431,KI,109,308,93,203,1,0
SEA 34-1436,KI,76,362,80,156,0,0
SEA 34-1437,KI,114,498,138,254,0,2
SEA 34-1434,KI,100,271,82,183,0,1
SEA 34-1435,KI,76,299,102,178,0,0
KEN 47-2403,KI,108,466,59,171,0,4
SAM 41-3638,KI,189,717,153,346,0,4
SAM 45-2564,KI,223,749,192,418,0,3
FAIRMONT,KI,105,394,107,216,0,4
CHALLENGER,KI,102,293,83,185,0,0
BEL 48-0149,KI,123,416,110,234,0,1
BEL 48-0142,KI,90,299,68,159,0,1
BEL 48-0143,KI,88,291,62,152,0,2
BEL 48-0140,KI,148,425,85,234,0,1
BEL 48-0146,KI,99,298,73,173,0,1
BEL 48-0147,KI,111,444,94,207,0,2
BEL 48-0144,KI,93,320,74,169,0,2
BEL 48-0145,KI,72,274,62,137,0,3
SEA 46-2228,KI,117,486,112,234,0,5
SEA 46-2221,KI,148,513,150,298,0,0
DES 30-1227,KI,217,635,156,378,0,5
SHL 32-2753,KI,124,465,57,184,0,3
DANIEL,KI,173,574,141,323,0,9
ISS 05-2806,KI,121,399,122,243,0,0
SAM 45-3412,KI,234,738,171,406,0,1
JAY,KI,143,492,136,280,0,1
SHL 32-1210,KI,166,535,116,284,0,2
SEA 37-1944,KI,189,754,137,326,0,0
SEA 36-1386,KI,99,315,110,213,0,4
SEA 36-1387,KI,157,462,131,289,0,1
SEA 36-1384,KI,116,309,106,228,0,6
SEA 36-1385,KI,70,243,103,175,0,2
AUB 31-0082,KI,128,403,73,203,0,2
AUB 31-0083,KI,135,487,92,229,0,2
AUB 31-0080,KI,249,830,161,414,0,4
AUB 31-0081,KI,131,457,67,199,0,1
SEA 36-1388,KI,96,337,124,220,0,0
SEA 36-1389,KI,78,259,84,163,0,1
TUK 11-3393,KI,83,347,36,119,0,0
HONEY,KI,30,102,27,57,0,0
KEN 33-3332,KI,233,863,201,437,0,3
KEN 47-0798,KI,222,742,172,394,0,0
SET 33-3069,KI,88,353,81,169,0,0
SET 33-3068,KI,119,464,108,228,0,1
SKY 39-1091,KI,38,130,36,74,0,0
SET 33-3066,KI,112,491,65,179,0,2
KEN 33-3445,KI,108,375,76,188,0,4
SET 33-3064,KI,109,468,57,167,0,1
SET 33-3063,KI,106,330,66,173,0,1
SET 33-3062,KI,101,316,54,155,0,0
SET 33-3061,KI,97,340,67,166,0,2
SEA 37-1630,KI,82,309,86,169,0,1
KEN 33-2426,KI,178,550,119,298,0,1
SEA 43-1976,KI,61,242,33,94,0,0
SHL 32-1106,KI,179,585,118,299,0,2
BEL 41-2554,KI,184,645,159,343,0,0
SEA 43-3320,KI,133,515,107,241,0,1
SHL 32-1101,KI,85,301,72,157,0,0
SEA 37-1622,KI,143,578,83,226,0,0
BUR 33-0805,KI,185,591,83,270,0,2
SEA 36-1709,KI,85,359,67,154,0,2
COOPER,KI,151,473,125,278,0,2
SEA 36-1702,KI,174,606,195,372,0,3
SEA 36-1703,KI,179,530,160,340,0,1
SEA 36-1700,KI,122,383,86,208,0,0
DOLPHIN,KI,98,275,82,183,0,3
SEA 36-1704,KI,139,640,109,251,0,3
SEA 46-2094,KI,90,283,88,178,0,0
SEA 46-2095,KI,77,279,109,187,0,1
SEA 46-2096,KI,84,230,78,162,0,0
SEA 46-2097,KI,118,400,139,257,0,0
SEA 46-2090,KI,148,494,114,262,0,0
SEA 46-2091,KI,136,451,128,265,0,1
SEA 46-2092,KI,113,311,112,225,0,0
SEA 36-2750,KI,114,458,79,198,0,5
SEA 34-1497,KI,196,728,135,336,0,5
SEA 46-2098,KI,147,436,138,285,0,0
DOLLOFF,KI,124,412,97,223,0,2
LOIS,KI,130,566,101,237,0,6
SHL 32-0538,KI,118,425,99,219,0,2
SEA 46-2263,KI,192,599,201,396,0,3
BEL 48-3166,KI,178,561,99,278,0,1
SHL 32-0530,KI,102,282,76,179,0,1
BEL 48-3498,KI,82,239,71,153,0,0
AUB 31-0069,KI,102,314,57,159,0,0
SEA 36-2147,KI,165,489,171,338,0,2
SEA 36-2146,KI,90,338,108,199,0,1
AUB 31-0062,KI,219,660,110,332,0,3
AUB 31-0063,KI,90,279,39,130,0,1
AUB 31-0064,KI,91,408,34,125,0,0
AUB 31-0065,KI,80,288,45,125,0,0
COV 47-3244,KI,139,466,62,204,0,3
SEA 46-2345,KI,87,294,109,196,0,0
ALDERWOOD,KI,154,440,123,284,0,7
RED 45-2643,KI,145,433,105,254,0,4
BEL 41-3291,KI,84,292,74,159,0,1
SEA 37-1920,KI,196,574,142,339,0,1
SEA 37-1925,KI,81,319,70,153,0,2
SEA 37-1927,KI,106,409,108,216,0,2
RNT 11-2816,KI,176,578,116,297,0,5
SEA 43-1999,KI,141,439,129,270,0,0
SEA 43-1993,KI,89,238,57,147,0,1
SEA 43-1992,KI,185,652,223,410,0,2
SEA 43-1991,KI,262,839,221,487,0,4
SEA 43-1990,KI,146,458,114,260,0,0
SEA 43-1997,KI,102,295,91,194,0,1
SEA 43-1996,KI,96,298,94,193,0,3
SEA 43-1995,KI,83,244,79,163,0,1
SEA 43-1994,KI,119,295,78,197,0,0
RNT 11-3224,KI,126,457,84,214,0,4
BUR 34-0025,KI,202,734,147,352,0,3
RNT 11-3223,KI,70,294,43,114,0,1
RNT 11-3222,KI,164,581,128,295,0,3
MARCEL,KI,96,371,109,207,0,2
RNT 11-2607,KI,118,631,78,196,0,0
SAM 45-3388,KI,227,698,161,389,0,1
SAM 45-3389,KI,291,762,168,460,0,1
SEA 43-3685,KI,80,258,76,158,0,2
DES 33-1078,KI,84,354,66,150,0,0
SAM 45-3386,KI,227,784,171,398,0,0
SAM 45-3387,KI,134,402,109,244,0,1
LAKERIDGE,KI,239,751,169,411,0,3
BEL 41-3583,KI,227,675,158,386,0,1
BEL 41-0129,KI,96,316,52,148,0,0
BEL 41-0128,KI,158,494,137,295,0,0
MCDONALD,KI,147,525,135,285,0,3
BEL 41-0124,KI,172,505,134,308,0,2
BEL 41-0123,KI,193,748,124,323,0,6
BEL 41-0122,KI,127,391,86,213,0,0
BEL 41-0121,KI,136,501,91,231,0,4
BEL 41-0120,KI,84,248,73,157,0,0
SNQ 05-3151,KI,156,627,139,297,0,2
RNT 11-3359,KI,134,487,52,188,0,2
RNT 11-0992,KI,76,295,51,127,0,0
RNT 11-0990,KI,133,448,66,199,0,0
RNT 11-0996,KI,153,562,101,257,0,3
RNT 11-0997,KI,198,875,126,328,0,4
RNT 11-3643,KI,105,363,73,180,0,2
RNT 11-0998,KI,104,363,65,171,0,2
WAXWING,KI,89,295,89,178,0,0
KEN 33-0583,KI,113,371,89,203,0,1
KEN 33-0582,KI,210,843,145,359,0,4
KEN 33-0581,KI,215,684,95,311,0,1
KEN 33-0587,KI,122,470,84,209,0,3
KEN 33-0586,KI,154,437,101,256,0,1
KEN 33-0585,KI,138,569,83,224,0,3
KEN 33-0588,KI,88,317,68,157,0,1
HUCKLEBERRY,KI,124,420,98,227,0,5
SEA 43-3595,KI,183,535,136,322,0,3
MINK ROAD,KI,133,424,125,260,0,2
RED 45-3282,KI,237,707,185,425,0,3
RED 45-3281,KI,188,633,122,312,0,2
LFP 46-0397,KI,109,397,94,204,0,1
BUR 33-0251,KI,89,386,84,174,0,1
SHL 32-0844,KI,156,431,119,276,0,1
SEA 43-1379,KI,87,263,98,187,0,2
SEA 43-1378,KI,99,308,119,219,0,1
SEA 43-1377,KI,111,330,95,207,0,1
SEA 43-1376,KI,159,541,151,312,0,2
SEA 43-1375,KI,101,327,116,222,0,5
SEA 43-1374,KI,91,295,114,205,0,0
SEA 43-1373,KI,106,335,132,243,0,5
SEA 43-1372,KI,98,335,125,224,0,1
SEA 43-1371,KI,84,288,80,166,0,2
SEA 43-1370,KI,113,332,124,237,0,0
LFP 46-0400,KI,168,519,144,315,0,3
ISS 05-3464,KI,196,829,179,376,0,1
HUTCHINSON,KI,212,678,215,427,0,0
BEL 41-1052,KI,142,462,115,257,0,0
SAWYER,KI,200,594,177,382,0,5
SAM 41-3607,KI,130,498,124,259,0,5
SEA 11-1639,KI,113,551,80,193,0,0
SEA 43-3665,KI,109,379,72,184,0,3
KEN 47-2939,KI,77,314,42,121,0,2
NOVELTY,KI,162,605,172,336,0,2
BUR 34-1047,KI,203,744,150,355,0,2
BEL 41-2970,KI,201,714,180,384,0,3
SEA 43-1368,KI,77,292,105,184,0,2
MAY VALLEY,KI,130,492,113,246,0,3
BEL 48-0212,KI,222,620,77,303,0,4
BEL 48-0213,KI,123,395,48,175,0,4
SEA 46-2306,KI,93,307,101,195,0,1
SEA 46-2127,KI,161,494,116,278,0,1
BEL 48-0216,KI,93,256,47,140,0,0
BEL 48-0217,KI,121,404,63,184,0,0
BEL 48-0214,KI,83,274,47,130,0,0
SEA 46-2303,KI,133,422,150,284,0,1
BEL 48-0218,KI,209,546,126,338,0,3
SEA 46-2308,KI,107,377,123,230,0,0
SEA 46-2309,KI,97,300,86,184,0,1
GRASS LAKE,KI,152,374,82,235,0,1
SEA 34-1449,KI,96,367,116,213,0,1
RNT 11-0456,KI,187,635,98,291,0,6
SEA 34-1446,KI,106,398,130,237,0,1
SEA 34-1444,KI,202,595,160,365,0,3
SEA 34-1443,KI,141,380,125,266,0,0
SEA 11-1256,KI,143,627,96,242,0,3
SEA 34-1441,KI,72,264,82,156,0,2
SEA 34-1440,KI,66,242,83,149,0,0
SEA 43-1367,KI,118,375,132,253,0,3
SEA 43-2088,KI,200,694,159,361,0,2
SEA 43-2089,KI,33,341,30,65,0,2
SHADOW LAKE,KI,162,610,168,334,0,4
SEA 43-2084,KI,240,668,200,445,0,5
SEA 43-2081,KI,26,385,9,35,0,0
SEA 43-1361,KI,114,417,121,238,0,3
KEN 47-2599,KI,210,748,133,345,0,2
BEL 48-0138,KI,101,393,77,179,0,1
BEL 48-0136,KI,66,274,46,113,0,1
BEL 48-0135,KI,71,256,55,127,0,1
BEL 48-0134,KI,97,324,45,143,0,1
BEL 48-0133,KI,79,307,63,143,0,1
BEL 48-0132,KI,64,249,70,134,0,0
AUB 31-3405,KI,200,662,122,322,0,0
SEA 46-2231,KI,191,619,171,366,0,4
SEA 46-2234,KI,89,274,91,182,0,2
SEA 46-2236,KI,102,350,116,218,0,0
SEA 46-2796,KI,116,456,110,229,0,3
SQUAK MOUNTAIN,KI,65,188,50,115,0,0
DES 33-3131,KI,72,266,47,119,0,0
SNQ 05-3558,KI,129,487,105,236,0,2
SEA 46-2153,KI,121,492,108,231,0,2
SEA 46-2152,KI,77,378,112,192,0,3
LAKELAND,KI,141,527,103,248,0,4
AUB 47-0328,KI,254,684,140,397,0,3
KEN 47-1034,KI,213,745,143,356,0,0
FAIRGLEN,KI,145,442,113,258,0,0
GENEVA,KI,121,408,95,218,0,2
KEN 11-3403,KI,163,549,100,264,0,1
SET 33-3075,KI,67,289,48,116,0,1
SET 33-3076,KI,186,623,120,310,0,4
SET 33-3070,KI,95,340,77,173,0,1
AUB 30-0046,KI,111,351,57,169,0,1
SEA 36-1288,KI,141,391,124,265,0,0
SEA 36-1287,KI,230,733,247,481,0,4
SEA 36-1286,KI,121,439,130,254,0,3
ENM 31-0411,KI,250,765,155,410,0,5
SHL 32-0444,KI,147,438,112,260,0,1
SEA 37-1652,KI,74,287,82,157,0,1
SEA 37-1651,KI,176,736,77,256,0,3
SEA 37-1650,KI,80,260,94,175,0,1
SEA 36-1775,KI,183,711,142,327,0,2
SEA 36-1774,KI,176,494,170,347,0,1
BUR 33-0818,KI,179,753,138,319,0,2
SEA 36-1772,KI,146,534,137,284,0,1
SEA 36-1771,KI,136,487,109,248,0,3
SEA 36-1770,KI,80,234,79,159,0,0
SERENIDAD,KI,193,746,123,317,0,1
ISS 41-3533,KI,154,507,100,254,0,0
AUB 47-0072,KI,160,525,128,289,0,1
AUB 47-0073,KI,162,687,76,244,0,6
AUB 47-0074,KI,204,569,90,294,0,0
GROUSEMONT,KI,208,593,187,396,0,1
REGAL,KI,197,788,122,321,0,2
RED 45-2410,KI,296,822,233,533,0,4
SAM 45-2620,KI,166,491,132,305,0,7
KMR 46-2444,KI,133,418,103,237,0,1
SEA 43-3262,KI,89,306,88,177,0,0
M-I 41-2808,KI,107,263,79,188,0,2
M-I 41-2809,KI,78,240,72,152,0,2
RED 45-2659,KI,55,154,34,89,0,0
AUB 31-0054,KI,145,527,65,214,0,4
AUB 31-0051,KI,122,530,43,166,0,1
AUB 31-0050,KI,117,421,70,188,0,1
M-I 41-0790,KI,73,246,72,147,0,2
KRAIN,KI,176,565,195,372,0,1
SEA 43-1783,KI,124,455,118,243,0,1
SEA 43-3570,KI,243,1056,181,429,0,5
SEA 46-2300,KI,163,490,162,327,0,2
SEA 36-3605,KI,135,535,109,249,0,5
SEA 37-1937,KI,99,293,113,212,0,0
SEA 11-3491,KI,0,0,0,0,0,0
SEA 37-1935,KI,92,291,112,204,0,0
SEA 37-1932,KI,102,416,114,218,0,2
SEA 37-1930,KI,200,738,189,391,0,2
SEA 37-1938,KI,109,394,136,247,0,2
KIR 45-0925,KI,112,312,54,167,0,1
SEA 37-1915,KI,132,384,124,260,0,4
SEA 43-1982,KI,142,501,124,266,0,0
SEA 43-1983,KI,173,497,139,313,0,1
TUK 11-3614,KI,18,56,10,28,0,0
SEA 43-1986,KI,80,278,82,163,0,1
LFP 46-0092,KI,199,646,141,341,0,1
MATTHEW,KI,107,461,134,243,0,2
SEA 43-3692,KI,0,0,0,0,0,0
SEA 43-3690,KI,9,38,7,17,0,1
ASPEN GLEN,KI,123,396,106,232,0,3
BUR 33-0009,KI,87,277,32,119,0,0
BEL 41-0131,KI,104,417,71,178,0,3
SEA 43-1863,KI,120,475,132,255,0,3
BEL 41-3621,KI,164,525,126,291,0,1
BUR 33-1067,KI,257,866,163,427,0,7
BEL 41-3330,KI,73,309,72,146,0,1
TUK 11-2752,KI,127,490,118,249,0,4
BAKER,KI,198,599,149,347,0,0
SNQ 05-3513,KI,253,896,209,463,0,1
TUK 11-2751,KI,64,273,72,136,0,0
KEN 33-0590,KI,229,755,134,372,0,9
KEN 33-0591,KI,89,274,51,140,0,0
KEN 33-0592,KI,49,208,31,81,0,1
KEN 33-0593,KI,95,231,45,140,0,0
KEN 33-0594,KI,87,366,100,189,0,2
KEN 33-0595,KI,91,488,48,139,0,0
KEN 33-0596,KI,164,550,125,289,0,0
KEN 33-0597,KI,147,688,85,239,1,6
KEN 33-0598,KI,125,473,74,201,0,2
ISS 05-3504,KI,130,610,136,267,0,1
ISS 05-3503,KI,109,504,129,240,0,2
ANGELO,KI,119,425,111,232,0,2
SEA 46-2056,KI,118,330,108,228,0,2
BUR 34-1116,KI,120,387,69,192,1,2
SEA 46-2057,KI,160,443,150,310,0,0
BEL 41-0220,KI,173,420,87,262,0,2
SHL 32-0875,KI,175,557,138,315,0,2
FED 30-3085,KI,145,416,109,257,0,3
LFP 46-0655,KI,248,679,175,426,0,3
LFP 46-0654,KI,175,471,129,307,0,3
LFP 46-0653,KI,151,412,132,285,0,2
LFP 46-0652,KI,85,230,69,156,0,2
LFP 46-0650,KI,110,354,108,221,0,3
KEN 47-3189,KI,143,732,62,206,0,1
SEA 43-1369,KI,71,285,93,165,0,1
SEA 43-1364,KI,152,535,166,321,0,3
NEW 41-3241,KI,209,699,163,373,0,1
SEA 43-1366,KI,90,287,96,186,0,0
LITTLE SOOS,KI,168,463,98,268,0,2
SEA 43-1360,KI,218,622,159,379,0,2
KEN 47-3180,KI,123,541,63,187,0,1
SEA 43-1362,KI,166,660,180,351,0,5
RNT 11-1109,KI,105,484,72,180,0,3
SEA 46-2330,KI,125,420,107,232,0,0
TOLT,KI,98,317,87,188,0,3
NATHAN,KI,149,507,144,297,0,4
DUV 45-2959,KI,148,514,119,267,0,0
SNQ 05-1097,KI,92,402,84,177,0,1
SEA 11-1624,KI,115,577,92,208,0,1
MABEL,KI,116,331,94,212,0,2
BUR 34-1058,KI,175,493,138,315,0,2
BUR 34-1059,KI,198,614,120,321,0,3
BUR 34-1057,KI,223,660,199,423,0,1
BOT 01-2495,KI,175,580,125,304,0,4
SEA 46-2339,KI,84,330,82,171,0,5
FED 30-3080,KI,111,499,60,172,0,1
LFP 46-1056,KI,178,536,150,332,0,4
FED 30-3087,KI,151,508,104,259,0,4
FED 30-3086,KI,170,526,109,279,0,0
FED 30-3088,KI,165,538,95,263,0,3
SEA 46-2333,KI,111,371,108,221,0,2
SEA 46-2332,KI,81,248,83,165,0,1
SEA 46-2335,KI,165,609,101,268,0,2
SEA 46-2334,KI,176,573,163,343,0,4
SEA 46-2337,KI,112,347,70,185,0,3
SEA 46-2336,KI,185,707,161,350,0,4
KIR 45-3640,KI,92,311,58,152,0,2
KIR 45-3646,KI,67,276,33,101,0,1
SEA 34-1458,KI,126,376,119,246,0,1
SEA 34-1459,KI,98,272,74,175,0,3
SEA 34-1454,KI,82,306,95,180,0,3
SEA 34-1455,KI,246,956,181,428,0,1
SEA 34-1456,KI,139,428,109,248,0,0
SEA 34-1457,KI,206,687,179,385,0,0
SEA 34-1450,KI,106,301,82,188,0,0
SEA 34-1451,KI,105,330,73,178,0,0
SEA 34-1452,KI,88,275,82,170,0,0
SEA 34-1453,KI,96,264,77,174,0,1
SHL 32-0296,KI,116,377,83,201,0,2
SAM 41-3654,KI,173,475,112,287,0,2
COV 47-2982,KI,151,553,99,251,0,1
SEA 32-2216,KI,97,338,105,203,0,1
KEN 47-2585,KI,256,819,174,431,0,1
BEL 48-0125,KI,125,405,72,201,0,4
BEL 48-0126,KI,106,354,91,198,0,1
BEL 48-0127,KI,109,393,51,161,0,1
RNT 11-2581,KI,167,668,147,322,0,8
FED 30-3395,KI,86,272,53,143,0,4
RAVENSDALE,KI,141,497,110,252,0,1
BUR 34-0900,KI,117,391,77,194,0,0
SEA 37-3647,KI,89,447,55,146,0,2
KEN 47-1151,KI,134,398,95,229,0,0
SEA 32-2537,KI,111,396,102,213,0,0
SEA 32-2539,KI,243,788,200,447,0,4
BEL 48-0694,KI,176,556,100,279,0,3
SEA 46-2142,KI,208,674,145,357,0,4
SEA 46-2143,KI,92,285,68,163,0,3
SEA 46-2145,KI,160,497,137,297,0,0
MERGANSER,KI,206,627,143,351,0,2
DIAMOND,KI,66,227,54,120,0,0
M-V 05-0528,KI,169,344,96,266,0,1
CAR 05-3290,KI,158,515,148,309,0,3
SHL 32-1038,KI,90,254,45,136,0,1
AUB 30-0053,KI,125,437,57,185,0,3
SEA 43-1334,KI,129,446,129,262,0,4
SNO-VALLEY,KI,217,760,188,408,0,3
JEFFERSON,KI,227,829,174,404,0,3
SAM 41-0307,KI,134,525,156,291,0,1
SEA 34-3682,KI,95,386,97,192,0,0
