Row Label,County,Approved,Registered Voters,Rejected,Times Blank Voted,Times Counted,Times Over Voted
NPK 33-0854,KI,152,436,140,10,302,0
NPK 33-0855,KI,134,390,85,12,231,0
NPK 33-0852,KI,168,442,112,16,296,0
NPK 33-0853,KI,106,338,132,5,243,0
NPK 33-0851,KI,173,525,147,18,338,0
SET 33-3074,KI,131,456,107,22,260,0
SET 33-3075,KI,58,289,53,5,116,0
SET 33-3076,KI,195,623,97,18,310,0
SET 33-3070,KI,83,340,81,9,173,0
BUR 34-1136,KI,68,218,58,11,137,0
CONNAUGHT,KI,187,615,129,21,337,0
REGAL,KI,210,788,93,18,321,0
BUR 34-1032,KI,154,511,91,18,263,0
SET 33-3073,KI,90,285,70,11,171,0
SET 33-3060,KI,83,373,40,11,134,0
GLASGOW,KI,134,601,95,26,255,0
DES 33-2637,KI,141,499,75,5,221,0
BUR 33-0957,KI,88,323,48,5,141,0
BUR 34-0913,KI,106,599,101,18,225,0
BUR 33-0818,KI,171,753,123,25,319,0
NPK 33-2644,KI,123,287,71,10,204,0
NPK 33-2474,KI,143,454,152,21,316,0
NPK 33-2646,KI,175,587,143,22,341,1
BUR 34-0281,KI,0,0,0,0,0,0
TUK 11-2752,KI,129,490,102,18,249,0
TUK 11-2751,KI,0,0,0,0,0,0
BUR 34-0033,KI,155,682,132,22,309,0
BUR 34-1082,KI,109,307,85,21,215,0
DES 33-0297,KI,67,240,45,9,121,0
BUR 34-0848,KI,147,421,98,16,261,0
DES 33-2626,KI,121,331,136,15,272,0
DES 33-2627,KI,114,347,107,8,229,0
DES 33-2625,KI,116,434,109,6,231,0
GRANDVIEW,KI,0,0,0,0,0,0
DES 33-2623,KI,119,333,87,19,225,0
SEA 34-1251,KI,0,3,0,0,0,0
NPK 33-0849,KI,124,380,119,11,254,0
SET 33-3057,KI,127,607,128,12,267,0
BUR 34-0025,KI,216,734,115,21,352,0
BUR 33-0562,KI,94,403,90,10,194,0
BUR 34-0381,KI,153,486,71,18,243,1
SEAVIEW,KI,126,393,77,18,221,0
DES 33-2394,KI,187,407,65,19,271,0
DES 33-2395,KI,117,263,35,10,162,0
SET 33-3059,KI,131,683,56,18,205,0
DES 33-0361,KI,115,386,77,9,201,0
DES 33-0360,KI,216,582,144,13,373,0
DES 33-0363,KI,90,350,60,4,154,0
BUR 34-1150,KI,135,365,108,6,249,0
DES 33-0682,KI,121,444,103,17,241,0
DES 33-0364,KI,108,441,79,9,196,0
DES 33-0367,KI,111,411,107,16,234,0
DES 33-0366,KI,178,593,139,26,343,0
EVERGREEN,KI,177,716,64,20,261,0
MARIAN,KI,197,776,103,23,323,0
DES 33-2820,KI,80,393,73,11,164,0
BUR 33-0476,KI,211,764,145,22,378,0
TUK 11-3614,KI,14,56,9,5,28,0
BUR 33-0094,KI,123,450,100,6,229,0
SET 33-3104,KI,129,542,103,15,247,0
NPK 33-2645,KI,126,335,78,15,219,0
SET 33-3107,KI,150,680,116,15,281,0
SET 33-3100,KI,188,847,84,19,291,0
BUR 34-0560,KI,117,474,87,19,223,0
SET 33-3102,KI,158,670,117,18,293,0
SYLVAN,KI,208,744,103,25,336,0
BUR 34-1064,KI,182,589,153,23,358,0
KEN 33-0585,KI,114,565,102,6,222,0
DES 33-0272,KI,110,414,118,11,239,0
BUR 33-0009,KI,70,277,44,5,119,0
JUTLAND,KI,0,0,0,0,0,0
BUR 34-0710,KI,90,357,74,11,175,0
SUNNYWOOD,KI,174,629,90,23,287,0
BUR 34-0824,KI,131,577,130,11,272,0
BUR 33-0251,KI,97,386,64,13,174,0
BUR 33-1067,KI,267,866,132,28,427,0
DES 33-0864,KI,90,317,97,17,204,0
WYNONA,KI,134,462,65,12,211,0
KEN 33-3553,KI,19,136,11,2,32,0
BUR 34-0311,KI,169,464,83,16,268,0
DES 33-0437,KI,85,271,60,10,155,0
DES 33-0668,KI,64,273,55,4,123,0
WHITE CENTER,KI,226,788,58,13,297,0
BUR 34-0485,KI,167,583,118,17,302,0
BUR 34-0489,KI,180,445,124,23,327,0
DES 33-2674,KI,141,552,88,21,250,0
DES 33-2671,KI,267,834,186,35,488,0
DES 33-2673,KI,83,366,73,11,167,0
DES 33-2672,KI,119,577,100,12,231,0
MCKINLEY,KI,75,335,38,3,116,0
BUR 34-0402,KI,146,390,86,9,241,0
