Row Label,County,Charleen Groomes
CRUMBACHER,OK,60
OMAK #11,OK,68
OMAK #12,OK,45
LONE PINE,OK,23
OMAK #14,OK,29
OMAK #15,OK,52
OMAK #16,OK,35
OMAK #17,OK,58
PICKENS MTN,OK,32
EDER,OK,41
WANNACUT,OK,59
CAPE LABELLE,OK,24
DIXON,OK,40
JANIS,OK,32
SIWASH CREEK,OK,41
BOSTON,OK,57
CHEROKEE,OK,58
RANCHES,OK,17
WOLF CREEK,OK,47
HENDRICK,OK,59
ELMERTON,OK,76
TONASKET #4,OK,32
FRONTAGE,OK,16
LEESE,OK,19
TONASKET #1,OK,28
OKANOGAN #11,OK,45
TONASKET #3,OK,20
TONASKET #2,OK,35
KERMEL,OK,48
ANGLIN,OK,65
OMAK LAKE,OK,21
SAND FLAT,OK,59
MALOTT,OK,76
DISAUTEL,OK,20
BREWSTER #5,OK,27
BODIE,OK,16
CHILIWIST,OK,48
TONASKET #5,OK,30
AENEAS,OK,35
COULEE DAM #3,OK,33
COULEE DAM #2,OK,38
COULEE DAM #1,OK,51
WESTLAKE,OK,29
TONASKET #7,OK,45
LEWIS BUTTE,OK,56
STARR,OK,29
OKANOGAN #10,OK,46
BEAVER CREEK,OK,25
NORTH MALOTT,OK,59
OKANOGAN #12,OK,26
WAUCONDA,OK,39
WINTHROP RURAL,OK,60
DUCK LAKE,OK,25
EASTSIDE,OK,68
HUDSON,OK,19
NIGHTHAWK,OK,17
CONCONULLY RURAL,OK,38
ANTOINE PEAK,OK,20
OROVILLE #10,OK,39
OMAK #18,OK,25
TWISP #2,OK,44
EASTLAKE,OK,23
Total,OK,8621
MOCK,OK,45
