"Race","CountyCode","Candidate","PrecinctName","PrecinctCode","Votes"
"Legislative District 7 - State Senator","OK","Mike Brunson","COPPLE","59","6"
"Legislative District 7 - State Senator","OK","Brian Dansel","COPPLE","59","2"
"Legislative District 7 - State Senator","OK","John Smith","COPPLE","59","28"
"Legislative District 7 - State Senator","OK","Mike Brunson","ENGH","61","4"
"Legislative District 7 - State Senator","OK","Brian Dansel","ENGH","61","5"
"Legislative District 7 - State Senator","OK","John Smith","ENGH","61","17"
"Legislative District 7 - State Senator","OK","Mike Brunson","JANIS","63","1"
"Legislative District 7 - State Senator","OK","Brian Dansel","JANIS","63","6"
"Legislative District 7 - State Senator","OK","John Smith","JANIS","63","5"
"Legislative District 7 - State Senator","OK","Mike Brunson","LEESE(*)","64","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","LEESE(*)","64","0"
"Legislative District 7 - State Senator","OK","John Smith","LEESE(*)","64","0"
"Legislative District 7 - State Senator","OK","Mike Brunson","PALMER LAKE","69","5"
"Legislative District 7 - State Senator","OK","Brian Dansel","PALMER LAKE","69","1"
"Legislative District 7 - State Senator","OK","John Smith","PALMER LAKE","69","19"
"Legislative District 7 - State Senator","OK","Mike Brunson","PINE CONE","70","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","PINE CONE","70","5"
"Legislative District 7 - State Senator","OK","John Smith","PINE CONE","70","22"
"Legislative District 7 - State Senator","OK","Mike Brunson","SAND FLAT","72","5"
"Legislative District 7 - State Senator","OK","Brian Dansel","SAND FLAT","72","13"
"Legislative District 7 - State Senator","OK","John Smith","SAND FLAT","72","21"
"Legislative District 7 - State Senator","OK","Mike Brunson","SOURDOUGH","74","3"
"Legislative District 7 - State Senator","OK","Brian Dansel","SOURDOUGH","74","3"
"Legislative District 7 - State Senator","OK","John Smith","SOURDOUGH","74","18"
"Legislative District 7 - State Senator","OK","Mike Brunson","WANNACUT","77","2"
"Legislative District 7 - State Senator","OK","Brian Dansel","WANNACUT","77","7"
"Legislative District 7 - State Senator","OK","John Smith","WANNACUT","77","19"
"Legislative District 7 - State Senator","OK","Mike Brunson","GREENACRES(*)","86","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","GREENACRES(*)","86","0"
"Legislative District 7 - State Senator","OK","John Smith","GREENACRES(*)","86","0"
"Legislative District 7 - State Senator","OK","Mike Brunson","JOHNSON CREEK","87","4"
"Legislative District 7 - State Senator","OK","Brian Dansel","JOHNSON CREEK","87","0"
"Legislative District 7 - State Senator","OK","John Smith","JOHNSON CREEK","87","23"
"Legislative District 7 - State Senator","OK","Mike Brunson","LIME BELT","89","2"
"Legislative District 7 - State Senator","OK","Brian Dansel","LIME BELT","89","0"
"Legislative District 7 - State Senator","OK","John Smith","LIME BELT","89","9"
"Legislative District 7 - State Senator","OK","Mike Brunson","BOUNDARY(*)","95","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","BOUNDARY(*)","95","0"
"Legislative District 7 - State Senator","OK","John Smith","BOUNDARY(*)","95","0"
"Legislative District 7 - State Senator","OK","Mike Brunson","BUCKHORN MTN","96","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","BUCKHORN MTN","96","5"
"Legislative District 7 - State Senator","OK","John Smith","BUCKHORN MTN","96","10"
"Legislative District 7 - State Senator","OK","Mike Brunson","EDER","97","2"
"Legislative District 7 - State Senator","OK","Brian Dansel","EDER","97","1"
"Legislative District 7 - State Senator","OK","John Smith","EDER","97","13"
"Legislative District 7 - State Senator","OK","Mike Brunson","HORSESHOE LAKE(*)","98","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","HORSESHOE LAKE(*)","98","0"
"Legislative District 7 - State Senator","OK","John Smith","HORSESHOE LAKE(*)","98","0"
"Legislative District 7 - State Senator","OK","Mike Brunson","LAKE ANDREWS","99","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","LAKE ANDREWS","99","6"
"Legislative District 7 - State Senator","OK","John Smith","LAKE ANDREWS","99","14"
"Legislative District 7 - State Senator","OK","Mike Brunson","MYERS CREEK","100","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","MYERS CREEK","100","7"
"Legislative District 7 - State Senator","OK","John Smith","MYERS CREEK","100","11"
"Legislative District 7 - State Senator","OK","Mike Brunson","OKANOGAN #1","105","4"
"Legislative District 7 - State Senator","OK","Brian Dansel","OKANOGAN #1","105","1"
"Legislative District 7 - State Senator","OK","John Smith","OKANOGAN #1","105","5"
"Legislative District 7 - State Senator","OK","Mike Brunson","OKANOGAN #2","106","3"
"Legislative District 7 - State Senator","OK","Brian Dansel","OKANOGAN #2","106","2"
"Legislative District 7 - State Senator","OK","John Smith","OKANOGAN #2","106","13"
"Legislative District 7 - State Senator","OK","Mike Brunson","OKANOGAN #3(*)","107","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","OKANOGAN #3(*)","107","0"
"Legislative District 7 - State Senator","OK","John Smith","OKANOGAN #3(*)","107","0"
"Legislative District 7 - State Senator","OK","Mike Brunson","OKANOGAN #4","108","1"
"Legislative District 7 - State Senator","OK","Brian Dansel","OKANOGAN #4","108","3"
"Legislative District 7 - State Senator","OK","John Smith","OKANOGAN #4","108","20"
"Legislative District 7 - State Senator","OK","Mike Brunson","OMAK #1(*)","109","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","OMAK #1(*)","109","0"
"Legislative District 7 - State Senator","OK","John Smith","OMAK #1(*)","109","0"
"Legislative District 7 - State Senator","OK","Mike Brunson","OMAK #2","110","4"
"Legislative District 7 - State Senator","OK","Brian Dansel","OMAK #2","110","2"
"Legislative District 7 - State Senator","OK","John Smith","OMAK #2","110","22"
"Legislative District 7 - State Senator","OK","Mike Brunson","OMAK #3","111","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","OMAK #3","111","2"
"Legislative District 7 - State Senator","OK","John Smith","OMAK #3","111","3"
"Legislative District 7 - State Senator","OK","Mike Brunson","OMAK #4","112","3"
"Legislative District 7 - State Senator","OK","Brian Dansel","OMAK #4","112","2"
"Legislative District 7 - State Senator","OK","John Smith","OMAK #4","112","14"
"Legislative District 7 - State Senator","OK","Mike Brunson","OMAK #5","113","8"
"Legislative District 7 - State Senator","OK","Brian Dansel","OMAK #5","113","2"
"Legislative District 7 - State Senator","OK","John Smith","OMAK #5","113","14"
"Legislative District 7 - State Senator","OK","Mike Brunson","OMAK #6","114","3"
"Legislative District 7 - State Senator","OK","Brian Dansel","OMAK #6","114","6"
"Legislative District 7 - State Senator","OK","John Smith","OMAK #6","114","17"
"Legislative District 7 - State Senator","OK","Mike Brunson","OMAK #7","115","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","OMAK #7","115","8"
"Legislative District 7 - State Senator","OK","John Smith","OMAK #7","115","13"
"Legislative District 7 - State Senator","OK","Mike Brunson","OMAK #8","116","1"
"Legislative District 7 - State Senator","OK","Brian Dansel","OMAK #8","116","3"
"Legislative District 7 - State Senator","OK","John Smith","OMAK #8","116","6"
"Legislative District 7 - State Senator","OK","Mike Brunson","OMAK #9","117","3"
"Legislative District 7 - State Senator","OK","Brian Dansel","OMAK #9","117","6"
"Legislative District 7 - State Senator","OK","John Smith","OMAK #9","117","29"
"Legislative District 7 - State Senator","OK","Mike Brunson","OROVILLE #1","118","2"
"Legislative District 7 - State Senator","OK","Brian Dansel","OROVILLE #1","118","2"
"Legislative District 7 - State Senator","OK","John Smith","OROVILLE #1","118","20"
"Legislative District 7 - State Senator","OK","Mike Brunson","OROVILLE #2","119","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","OROVILLE #2","119","5"
"Legislative District 7 - State Senator","OK","John Smith","OROVILLE #2","119","11"
"Legislative District 7 - State Senator","OK","Mike Brunson","OROVILLE #3","120","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","OROVILLE #3","120","2"
"Legislative District 7 - State Senator","OK","John Smith","OROVILLE #3","120","19"
"Legislative District 7 - State Senator","OK","Mike Brunson","TONASKET #1(*)","121","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","TONASKET #1(*)","121","0"
"Legislative District 7 - State Senator","OK","John Smith","TONASKET #1(*)","121","0"
"Legislative District 7 - State Senator","OK","Mike Brunson","TONASKET #2","122","4"
"Legislative District 7 - State Senator","OK","Brian Dansel","TONASKET #2","122","4"
"Legislative District 7 - State Senator","OK","John Smith","TONASKET #2","122","9"
"Legislative District 7 - State Senator","OK","Mike Brunson","TONASKET #3","123","2"
"Legislative District 7 - State Senator","OK","Brian Dansel","TONASKET #3","123","3"
"Legislative District 7 - State Senator","OK","John Smith","TONASKET #3","123","8"
"Legislative District 7 - State Senator","OK","Mike Brunson","CONCONULLY CITY","131","7"
"Legislative District 7 - State Senator","OK","Brian Dansel","CONCONULLY CITY","131","14"
"Legislative District 7 - State Senator","OK","John Smith","CONCONULLY CITY","131","22"
"Legislative District 7 - State Senator","OK","Mike Brunson","RIVERSIDE CITY","134","8"
"Legislative District 7 - State Senator","OK","Brian Dansel","RIVERSIDE CITY","134","9"
"Legislative District 7 - State Senator","OK","John Smith","RIVERSIDE CITY","134","18"
"Legislative District 7 - State Senator","OK","Mike Brunson","SHORELINE","138","2"
"Legislative District 7 - State Senator","OK","Brian Dansel","SHORELINE","138","0"
"Legislative District 7 - State Senator","OK","John Smith","SHORELINE","138","12"
"Legislative District 7 - State Senator","OK","Mike Brunson","SIMILKAMEEN","139","1"
"Legislative District 7 - State Senator","OK","Brian Dansel","SIMILKAMEEN","139","3"
"Legislative District 7 - State Senator","OK","John Smith","SIMILKAMEEN","139","17"
"Legislative District 7 - State Senator","OK","Mike Brunson","TEAL LAKE","140","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","TEAL LAKE","140","7"
"Legislative District 7 - State Senator","OK","John Smith","TEAL LAKE","140","14"
"Legislative District 7 - State Senator","OK","Mike Brunson","TONASKET CREEK","141","4"
"Legislative District 7 - State Senator","OK","Brian Dansel","TONASKET CREEK","141","1"
"Legislative District 7 - State Senator","OK","John Smith","TONASKET CREEK","141","15"
"Legislative District 7 - State Senator","OK","Mike Brunson","OROVILLE #4","142","1"
"Legislative District 7 - State Senator","OK","Brian Dansel","OROVILLE #4","142","3"
"Legislative District 7 - State Senator","OK","John Smith","OROVILLE #4","142","13"
"Legislative District 7 - State Senator","OK","Mike Brunson","OROVILLE #5","143","3"
"Legislative District 7 - State Senator","OK","Brian Dansel","OROVILLE #5","143","5"
"Legislative District 7 - State Senator","OK","John Smith","OROVILLE #5","143","22"
"Legislative District 7 - State Senator","OK","Mike Brunson","OROVILLE #6","144","1"
"Legislative District 7 - State Senator","OK","Brian Dansel","OROVILLE #6","144","3"
"Legislative District 7 - State Senator","OK","John Smith","OROVILLE #6","144","4"
"Legislative District 7 - State Senator","OK","Mike Brunson","OROVILLE #7","145","1"
"Legislative District 7 - State Senator","OK","Brian Dansel","OROVILLE #7","145","2"
"Legislative District 7 - State Senator","OK","John Smith","OROVILLE #7","145","6"
"Legislative District 7 - State Senator","OK","Mike Brunson","OROVILLE #8(*)","146","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","OROVILLE #8(*)","146","0"
"Legislative District 7 - State Senator","OK","John Smith","OROVILLE #8(*)","146","0"
"Legislative District 7 - State Senator","OK","Mike Brunson","OROVILLE #9","147","1"
"Legislative District 7 - State Senator","OK","Brian Dansel","OROVILLE #9","147","3"
"Legislative District 7 - State Senator","OK","John Smith","OROVILLE #9","147","14"
"Legislative District 7 - State Senator","OK","Mike Brunson","OROVILLE #10","148","3"
"Legislative District 7 - State Senator","OK","Brian Dansel","OROVILLE #10","148","7"
"Legislative District 7 - State Senator","OK","John Smith","OROVILLE #10","148","9"
"Legislative District 7 - State Senator","OK","Mike Brunson","JENNINGS LOOP","149","2"
"Legislative District 7 - State Senator","OK","Brian Dansel","JENNINGS LOOP","149","0"
"Legislative District 7 - State Senator","OK","John Smith","JENNINGS LOOP","149","10"
"Legislative District 7 - State Senator","OK","Mike Brunson","BLUE LAKE","150","7"
"Legislative District 7 - State Senator","OK","Brian Dansel","BLUE LAKE","150","2"
"Legislative District 7 - State Senator","OK","John Smith","BLUE LAKE","150","16"
"Legislative District 7 - State Senator","OK","Mike Brunson","AENEAS CREEK","151","5"
"Legislative District 7 - State Senator","OK","Brian Dansel","AENEAS CREEK","151","4"
"Legislative District 7 - State Senator","OK","John Smith","AENEAS CREEK","151","17"
"Legislative District 7 - State Senator","OK","Mike Brunson","AENEAS LAKE","152","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","AENEAS LAKE","152","15"
"Legislative District 7 - State Senator","OK","John Smith","AENEAS LAKE","152","21"
"Legislative District 7 - State Senator","OK","Mike Brunson","ANTOINE CREEK","153","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","ANTOINE CREEK","153","3"
"Legislative District 7 - State Senator","OK","John Smith","ANTOINE CREEK","153","10"
"Legislative District 7 - State Senator","OK","Mike Brunson","ANTOINE PEAK","154","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","ANTOINE PEAK","154","4"
"Legislative District 7 - State Senator","OK","John Smith","ANTOINE PEAK","154","7"
"Legislative District 7 - State Senator","OK","Mike Brunson","CAPE LABELLE","155","4"
"Legislative District 7 - State Senator","OK","Brian Dansel","CAPE LABELLE","155","2"
"Legislative District 7 - State Senator","OK","John Smith","CAPE LABELLE","155","10"
"Legislative District 7 - State Senator","OK","Mike Brunson","CAYUSE MTN","156","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","CAYUSE MTN","156","2"
"Legislative District 7 - State Senator","OK","John Smith","CAYUSE MTN","156","7"
"Legislative District 7 - State Senator","OK","Mike Brunson","CHEWILIKEN","157","5"
"Legislative District 7 - State Senator","OK","Brian Dansel","CHEWILIKEN","157","2"
"Legislative District 7 - State Senator","OK","John Smith","CHEWILIKEN","157","6"
"Legislative District 7 - State Senator","OK","Mike Brunson","DUFFYS MTN","158","2"
"Legislative District 7 - State Senator","OK","Brian Dansel","DUFFYS MTN","158","3"
"Legislative District 7 - State Senator","OK","John Smith","DUFFYS MTN","158","8"
"Legislative District 7 - State Senator","OK","Mike Brunson","FRONTAGE(*)","159","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","FRONTAGE(*)","159","0"
"Legislative District 7 - State Senator","OK","John Smith","FRONTAGE(*)","159","0"
"Legislative District 7 - State Senator","OK","Mike Brunson","GUSTY RIDGE","160","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","GUSTY RIDGE","160","6"
"Legislative District 7 - State Senator","OK","John Smith","GUSTY RIDGE","160","17"
"Legislative District 7 - State Senator","OK","Mike Brunson","LONGANECKER","161","3"
"Legislative District 7 - State Senator","OK","Brian Dansel","LONGANECKER","161","6"
"Legislative District 7 - State Senator","OK","John Smith","LONGANECKER","161","14"
"Legislative District 7 - State Senator","OK","Mike Brunson","NORTH TONASKET","162","4"
"Legislative District 7 - State Senator","OK","Brian Dansel","NORTH TONASKET","162","9"
"Legislative District 7 - State Senator","OK","John Smith","NORTH TONASKET","162","16"
"Legislative District 7 - State Senator","OK","Mike Brunson","PICKENS MTN","163","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","PICKENS MTN","163","6"
"Legislative District 7 - State Senator","OK","John Smith","PICKENS MTN","163","8"
"Legislative District 7 - State Senator","OK","Mike Brunson","RANCHES","164","4"
"Legislative District 7 - State Senator","OK","Brian Dansel","RANCHES","164","1"
"Legislative District 7 - State Senator","OK","John Smith","RANCHES","164","8"
"Legislative District 7 - State Senator","OK","Mike Brunson","SIWASH CREEK","165","5"
"Legislative District 7 - State Senator","OK","Brian Dansel","SIWASH CREEK","165","4"
"Legislative District 7 - State Senator","OK","John Smith","SIWASH CREEK","165","12"
"Legislative District 7 - State Senator","OK","Mike Brunson","SPECTACLE LAKE","166","2"
"Legislative District 7 - State Senator","OK","Brian Dansel","SPECTACLE LAKE","166","4"
"Legislative District 7 - State Senator","OK","John Smith","SPECTACLE LAKE","166","17"
"Legislative District 7 - State Senator","OK","Mike Brunson","HIGHWAY","167","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","HIGHWAY","167","4"
"Legislative District 7 - State Senator","OK","John Smith","HIGHWAY","167","10"
"Legislative District 7 - State Senator","OK","Mike Brunson","WHISKY MTN(*)","168","0"
"Legislative District 7 - State Senator","OK","Brian Dansel","WHISKY MTN(*)","168","0"
"Legislative District 7 - State Senator","OK","John Smith","WHISKY MTN(*)","168","0"
"Legislative District 7 - State Senator","OK","Mike Brunson","YARNELL","169","1"
"Legislative District 7 - State Senator","OK","Brian Dansel","YARNELL","169","3"
"Legislative District 7 - State Senator","OK","John Smith","YARNELL","169","7"
"Legislative District 7 - State Senator","OK","Mike Brunson","TONASKET #4","170","2"
"Legislative District 7 - State Senator","OK","Brian Dansel","TONASKET #4","170","6"
"Legislative District 7 - State Senator","OK","John Smith","TONASKET #4","170","9"
"Legislative District 7 - State Senator","OK","Mike Brunson","TONASKET #5","171","3"
