Row Label,PrecinctCode,County,Registered Voters,Dan Kathren
W3 - P505,3505,BE,NULL,150
W3 - P510,3510,BE,NULL,110
W3-P511,3511,BE,NULL,18
W3 - P515,3515,BE,NULL,112
W3-P516,3516,BE,NULL,11
W3 - P520,3520,BE,NULL,86
W3 - P525,3525,BE,NULL,116
W3 - P530,3530,BE,NULL,119
W3 - P535,3535,BE,NULL,94
W3 - P540,3540,BE,NULL,197
W3 - P545,3545,BE,NULL,110
W3 - P550,3550,BE,NULL,209
W3 - P551,3551,BE,NULL,187
W3 - P552,3552,BE,NULL,214
W3 - P553,3553,BE,NULL,194
W3 - P555,3555,BE,NULL,173
W3 - P556,3556,BE,NULL,268
W3 - P557,3557,BE,NULL,227
W3 - P558,3558,BE,NULL,270
W3 - P559,3559,BE,NULL,258
W3 - P560,3560,BE,NULL,97
WR 1,4001,BE,NULL,105
WR 2,4002,BE,NULL,126
WR 3,4003,BE,NULL,105
WR 4,4004,BE,NULL,262
WR 5,4005,BE,NULL,78
WR 6,4006,BE,NULL,241
WR 7,4007,BE,NULL,242
WR 8,4008,BE,NULL,250
WR 9,4009,BE,NULL,162
WR 10,4010,BE,NULL,18
WR 11,4011,BE,NULL,201
WR12,4012,BE,NULL,239
WR13,4013,BE,NULL,156
WR14,4014,BE,NULL,265
WR15,4015,BE,NULL,179
WR 16,4016,BE,NULL,142
WR 17,4017,BE,NULL,146
Enterprise,4101,BE,NULL,127
Harrington,4102,BE,NULL,234
Red Mountain,4103,BE,NULL,173
Cascade,5602,BE,NULL,178
Clements,5603,BE,NULL,39
Finley,5606,BE,NULL,285
Hawthorne,5608,BE,NULL,133
Hedges,5609,BE,NULL,156
Jewel,5613,BE,NULL,26
Kennewick Valley,5615,BE,NULL,199
Umatilla,5619,BE,NULL,86
Vista,5621,BE,NULL,90
Washington,5622,BE,NULL,79
Yellowstone,5623,BE,NULL,110
Oak,5624,BE,NULL,103
Celilo,5625,BE,NULL,222
Randy,5626,BE,NULL,75
El Rancho,5627,BE,NULL,277
Mills,5628,BE,NULL,251
Ivey,5629,BE,NULL,150
Canyon,5630,BE,NULL,190
Miller,5631,BE,NULL,1
Candy,5632,BE,NULL,5
French,5633,BE,NULL,27
Shockley,5634,BE,NULL,4
Liberty,5635,BE,NULL,9
Gage,5636,BE,NULL,5
Orchard,5637,BE,NULL,10
White Bluffs,5638,BE,NULL,260
(none),5639,BE,NULL,177
105,6105,BE,NULL,137
110,6110,BE,NULL,159
115,6115,BE,NULL,125
120,6120,BE,NULL,204
125,6125,BE,NULL,137
130,6130,BE,NULL,166
135,6135,BE,NULL,155
140,6140,BE,NULL,149
145,6145,BE,NULL,240
150,6150,BE,NULL,232
151,6151,BE,NULL,341
155,6155,BE,NULL,281
160,6160,BE,NULL,237
165,6165,BE,NULL,134
170,6170,BE,NULL,152
175,6175,BE,NULL,328
180,6180,BE,NULL,104
185,6185,BE,NULL,87
186,6186,BE,NULL,64
190,6190,BE,NULL,198
195,6195,BE,NULL,153
200,6200,BE,NULL,150
205,6205,BE,NULL,138
210,6210,BE,NULL,143
215,6215,BE,NULL,134
220,6220,BE,NULL,110
225,6225,BE,NULL,165
230,6230,BE,NULL,135
235,6235,BE,NULL,122
240,6240,BE,NULL,260
245,6245,BE,NULL,156
250,6250,BE,NULL,198
255,6255,BE,NULL,175
260,6260,BE,NULL,150
265,6265,BE,NULL,165
270,6270,BE,NULL,208
271,6271,BE,NULL,98
275,6275,BE,NULL,83
278,6278,BE,NULL,226
279,6279,BE,NULL,89
280,6280,BE,NULL,234
281,6281,BE,NULL,261
282,6282,BE,NULL,290
283,6283,BE,NULL,148
284,6284,BE,NULL,180
285,6285,BE,NULL,296
286,6286,BE,NULL,146
287,6287,BE,NULL,135
288,6288,BE,NULL,184
289,6289,BE,NULL,291
290,6290,BE,NULL,225
291,6291,BE,NULL,240
292,6292,BE,NULL,155
293,6293,BE,NULL,116
295,6295,BE,NULL,190
300,6300,BE,NULL,184
301,6301,BE,NULL,196
305,6305,BE,NULL,174
310,6310,BE,NULL,209
311,6311,BE,NULL,0
315,6315,BE,NULL,300
316,6316,BE,NULL,0
320,6320,BE,NULL,273
