Row Label,PrecinctCode,County,Registered Voters,Shon Small,Timothy Dalton
WR 3,4003,BE,NULL,62,63
WR 4,4004,BE,NULL,236,137
WR 5,4005,BE,NULL,58,44
WR 6,4006,BE,NULL,239,129
WR 7,4007,BE,NULL,178,130
WR 8,4008,BE,NULL,225,140
WR 9,4009,BE,NULL,126,78
WR 10,4010,BE,NULL,13,12
WR 11,4011,BE,NULL,160,114
WR12,4012,BE,NULL,216,109
WR13,4013,BE,NULL,134,82
WR14,4014,BE,NULL,239,142
WR15,4015,BE,NULL,134,96
WR 16,4016,BE,NULL,106,76
WR 17,4017,BE,NULL,130,65
Enterprise,4101,BE,NULL,109,78
Harrington,4102,BE,NULL,198,135
Red Mountain,4103,BE,NULL,136,101
Cascade,5602,BE,NULL,122,105
Clements,5603,BE,NULL,39,18
Finley,5606,BE,NULL,202,178
Hawthorne,5608,BE,NULL,94,77
Hedges,5609,BE,NULL,127,79
Jewel,5613,BE,NULL,22,12
Kennewick Valley,5615,BE,NULL,133,118
Umatilla,5619,BE,NULL,71,49
Vista,5621,BE,NULL,79,46
Washington,5622,BE,NULL,61,34
Yellowstone,5623,BE,NULL,96,53
Oak,5624,BE,NULL,68,63
Celilo,5625,BE,NULL,201,112
Randy,5626,BE,NULL,73,44
El Rancho,5627,BE,NULL,275,152
Mills,5628,BE,NULL,195,130
Ivey,5629,BE,NULL,99,93
Canyon,5630,BE,NULL,182,83
Miller(*),5631,BE,NULL,0,0
Candy(*),5632,BE,NULL,0,0
French,5633,BE,NULL,14,21
Shockley(*),5634,BE,NULL,0,0
Liberty,5635,BE,NULL,9,2
Gage,5636,BE,NULL,3,2
Orchard,5637,BE,NULL,11,5
White Bluffs,5638,BE,NULL,223,143
(none),5639,BE,NULL,138,119
105,6105,BE,NULL,91,67
110,6110,BE,NULL,121,89
115,6115,BE,NULL,115,64
120,6120,BE,NULL,164,92
125,6125,BE,NULL,114,63
130,6130,BE,NULL,144,82
135,6135,BE,NULL,127,74
140,6140,BE,NULL,105,88
145,6145,BE,NULL,216,116
150,6150,BE,NULL,207,111
151,6151,BE,NULL,258,163
155,6155,BE,NULL,213,136
160,6160,BE,NULL,198,101
165,6165,BE,NULL,91,85
170,6170,BE,NULL,91,100
175,6175,BE,NULL,263,152
180,6180,BE,NULL,83,58
185,6185,BE,NULL,47,68
186,6186,BE,NULL,55,30
190,6190,BE,NULL,158,103
195,6195,BE,NULL,121,89
200,6200,BE,NULL,107,86
205,6205,BE,NULL,89,73
210,6210,BE,NULL,106,78
215,6215,BE,NULL,93,81
220,6220,BE,NULL,75,77
225,6225,BE,NULL,124,77
230,6230,BE,NULL,91,63
235,6235,BE,NULL,108,56
240,6240,BE,NULL,202,126
245,6245,BE,NULL,108,81
250,6250,BE,NULL,129,104
255,6255,BE,NULL,107,119
260,6260,BE,NULL,119,68
265,6265,BE,NULL,115,88
270,6270,BE,NULL,189,99
271,6271,BE,NULL,77,53
275,6275,BE,NULL,54,47
278,6278,BE,NULL,213,96
279,6279,BE,NULL,63,41
280,6280,BE,NULL,213,101
281,6281,BE,NULL,253,112
282,6282,BE,NULL,286,124
283,6283,BE,NULL,137,80
284,6284,BE,NULL,168,61
285,6285,BE,NULL,252,168
286,6286,BE,NULL,133,76
287,6287,BE,NULL,83,74
288,6288,BE,NULL,156,72
289,6289,BE,NULL,271,130
290,6290,BE,NULL,169,116
291,6291,BE,NULL,177,135
292,6292,BE,NULL,116,76
293,6293,BE,NULL,100,56
295,6295,BE,NULL,150,109
300,6300,BE,NULL,160,86
301,6301,BE,NULL,143,115
305,6305,BE,NULL,173,93
310,6310,BE,NULL,176,115
311,6311,BE,NULL,0,0
315,6315,BE,NULL,290,141
316,6316,BE,NULL,0,0
320,6320,BE,NULL,248,133
