Row Label,PrecinctCode,County,Registered Voters,Terry M Tanner
Mills,5628,BE,NULL,249
Ivey,5629,BE,NULL,150
Canyon,5630,BE,NULL,192
Miller,5631,BE,NULL,1
Candy,5632,BE,NULL,5
French,5633,BE,NULL,26
Shockley,5634,BE,NULL,4
Liberty,5635,BE,NULL,9
Gage,5636,BE,NULL,5
Orchard,5637,BE,NULL,9
White Bluffs,5638,BE,NULL,262
(none),5639,BE,NULL,181
105,6105,BE,NULL,141
110,6110,BE,NULL,158
115,6115,BE,NULL,119
120,6120,BE,NULL,192
125,6125,BE,NULL,131
130,6130,BE,NULL,162
135,6135,BE,NULL,149
140,6140,BE,NULL,140
145,6145,BE,NULL,242
150,6150,BE,NULL,237
151,6151,BE,NULL,339
155,6155,BE,NULL,274
160,6160,BE,NULL,233
165,6165,BE,NULL,136
170,6170,BE,NULL,154
175,6175,BE,NULL,327
180,6180,BE,NULL,103
185,6185,BE,NULL,85
186,6186,BE,NULL,61
190,6190,BE,NULL,192
195,6195,BE,NULL,160
200,6200,BE,NULL,153
205,6205,BE,NULL,135
210,6210,BE,NULL,144
215,6215,BE,NULL,131
220,6220,BE,NULL,114
225,6225,BE,NULL,168
230,6230,BE,NULL,137
235,6235,BE,NULL,117
240,6240,BE,NULL,267
245,6245,BE,NULL,155
250,6250,BE,NULL,196
255,6255,BE,NULL,177
260,6260,BE,NULL,154
265,6265,BE,NULL,168
270,6270,BE,NULL,212
271,6271,BE,NULL,97
275,6275,BE,NULL,77
278,6278,BE,NULL,223
279,6279,BE,NULL,82
280,6280,BE,NULL,234
281,6281,BE,NULL,257
282,6282,BE,NULL,290
283,6283,BE,NULL,150
284,6284,BE,NULL,179
285,6285,BE,NULL,299
286,6286,BE,NULL,145
287,6287,BE,NULL,133
288,6288,BE,NULL,182
289,6289,BE,NULL,292
290,6290,BE,NULL,219
291,6291,BE,NULL,243
292,6292,BE,NULL,157
293,6293,BE,NULL,113
295,6295,BE,NULL,192
300,6300,BE,NULL,195
301,6301,BE,NULL,194
305,6305,BE,NULL,175
310,6310,BE,NULL,207
311,6311,BE,NULL,0
315,6315,BE,NULL,317
316,6316,BE,NULL,0
320,6320,BE,NULL,270
