Row Label,PrecinctCode,County,Registered Voters,John Hansens
Hawthorne,5608,BE,NULL,145
Hedges,5609,BE,NULL,166
Jewel,5613,BE,NULL,31
Kennewick Valley,5615,BE,NULL,216
Umatilla,5619,BE,NULL,90
Vista,5621,BE,NULL,105
Washington,5622,BE,NULL,86
Yellowstone,5623,BE,NULL,122
Oak,5624,BE,NULL,103
Celilo,5625,BE,NULL,247
Randy,5626,BE,NULL,90
El Rancho,5627,BE,NULL,333
Mills,5628,BE,NULL,279
Ivey,5629,BE,NULL,164
Canyon,5630,BE,NULL,220
Miller,5631,BE,NULL,1
Candy,5632,BE,NULL,6
French,5633,BE,NULL,33
Shockley,5634,BE,NULL,4
Liberty,5635,BE,NULL,10
Gage,5636,BE,NULL,4
Orchard,5637,BE,NULL,12
White Bluffs,5638,BE,NULL,302
(none),5639,BE,NULL,212
105,6105,BE,NULL,150
110,6110,BE,NULL,180
115,6115,BE,NULL,130
120,6120,BE,NULL,208
125,6125,BE,NULL,144
130,6130,BE,NULL,179
135,6135,BE,NULL,172
140,6140,BE,NULL,156
145,6145,BE,NULL,282
150,6150,BE,NULL,283
151,6151,BE,NULL,388
155,6155,BE,NULL,303
160,6160,BE,NULL,255
165,6165,BE,NULL,148
170,6170,BE,NULL,174
175,6175,BE,NULL,361
180,6180,BE,NULL,121
185,6185,BE,NULL,92
186,6186,BE,NULL,69
190,6190,BE,NULL,219
195,6195,BE,NULL,172
200,6200,BE,NULL,177
205,6205,BE,NULL,155
210,6210,BE,NULL,153
215,6215,BE,NULL,150
220,6220,BE,NULL,121
225,6225,BE,NULL,181
230,6230,BE,NULL,137
235,6235,BE,NULL,134
240,6240,BE,NULL,286
245,6245,BE,NULL,166
250,6250,BE,NULL,209
255,6255,BE,NULL,196
260,6260,BE,NULL,165
265,6265,BE,NULL,176
270,6270,BE,NULL,238
271,6271,BE,NULL,113
275,6275,BE,NULL,86
278,6278,BE,NULL,244
279,6279,BE,NULL,90
280,6280,BE,NULL,272
281,6281,BE,NULL,296
282,6282,BE,NULL,339
283,6283,BE,NULL,190
284,6284,BE,NULL,202
285,6285,BE,NULL,341
286,6286,BE,NULL,175
287,6287,BE,NULL,146
288,6288,BE,NULL,206
289,6289,BE,NULL,342
290,6290,BE,NULL,249
291,6291,BE,NULL,266
292,6292,BE,NULL,179
293,6293,BE,NULL,141
295,6295,BE,NULL,226
300,6300,BE,NULL,210
301,6301,BE,NULL,226
305,6305,BE,NULL,211
310,6310,BE,NULL,242
311,6311,BE,NULL,0
315,6315,BE,NULL,363
316,6316,BE,NULL,0
320,6320,BE,NULL,321
