Row Label,PrecinctCode,County,Registered Voters,Joe Burrowes
W1 - P682,1682,BE,NULL,272
W1 - P683,1683,BE,NULL,183
W1 - P685,1685,BE,NULL,248
W1 - P686,1686,BE,NULL,196
W1 - P690,1690,BE,NULL,252
W1 - P691,1691,BE,NULL,37
Buena Vista,2401,BE,NULL,315
Prosser North,2403,BE,NULL,199
South,2404,BE,NULL,150
Riverside,2405,BE,NULL,214
Walnut Grove,2406,BE,NULL,130
Susie,2407,BE,NULL,17
Apricot,2408,BE,NULL,53
Bobbie,2409,BE,NULL,0
W2 - P560,2560,BE,NULL,105
W2 - P565,2565,BE,NULL,95
W2 - P570,2570,BE,NULL,184
W2-P574,2574,BE,NULL,111
W2 - P575,2575,BE,NULL,82
W2 - P580,2580,BE,NULL,124
W2 - P585,2585,BE,NULL,105
W2 - P590,2590,BE,NULL,151
W2 - P595,2595,BE,NULL,147
W2 - P600,2600,BE,NULL,103
W2 - P601,2601,BE,NULL,112
W2 - P605,2605,BE,NULL,142
W2 - P610,2610,BE,NULL,125
W2 - P615,2615,BE,NULL,60
W2 - P620,2620,BE,NULL,139
W2 - P625,2625,BE,NULL,207
W2 - P626,2626,BE,NULL,126
W2 - P630,2630,BE,NULL,184
W2 - P633,2633,BE,NULL,190
W2 - P634,2634,BE,NULL,259
W2 - P635,2635,BE,NULL,245
W2 - P636,2636,BE,NULL,196
W2 - P637,2637,BE,NULL,230
W2 - P638,2638,BE,NULL,228
W2 - P639,2639,BE,NULL,128
W2 - P640,2640,BE,NULL,185
W2 - P641,2641,BE,NULL,137
Benton North,3001,BE,NULL,250
Benton South,3002,BE,NULL,189
Benton East,3003,BE,NULL,0
Legion,3101,BE,NULL,178
Kiona,3102,BE,NULL,281
Roza,3103,BE,NULL,0
Yakima,3104,BE,NULL,3
Demoss,3105,BE,NULL,11
Edgewater,3106,BE,NULL,148
Cherry,3107,BE,NULL,223
W3 - P500,3500,BE,NULL,38
W3 - P505,3505,BE,NULL,151
W3 - P510,3510,BE,NULL,110
W3-P511,3511,BE,NULL,18
W3 - P515,3515,BE,NULL,114
W3-P516,3516,BE,NULL,11
W3 - P520,3520,BE,NULL,85
W3 - P525,3525,BE,NULL,115
W3 - P530,3530,BE,NULL,121
W3 - P535,3535,BE,NULL,97
W3 - P540,3540,BE,NULL,199
W3 - P545,3545,BE,NULL,112
W3 - P550,3550,BE,NULL,206
W3 - P551,3551,BE,NULL,187
W3 - P552,3552,BE,NULL,211
W3 - P553,3553,BE,NULL,190
W3 - P555,3555,BE,NULL,175
W3 - P556,3556,BE,NULL,267
W3 - P557,3557,BE,NULL,226
W3 - P558,3558,BE,NULL,272
W3 - P559,3559,BE,NULL,263
W3 - P560,3560,BE,NULL,97
WR 1,4001,BE,NULL,103
WR 2,4002,BE,NULL,126
WR 3,4003,BE,NULL,108
WR 4,4004,BE,NULL,261
WR 5,4005,BE,NULL,76
WR 6,4006,BE,NULL,239
WR 7,4007,BE,NULL,242
WR 8,4008,BE,NULL,256
WR 9,4009,BE,NULL,155
WR 10,4010,BE,NULL,20
WR 11,4011,BE,NULL,205
WR12,4012,BE,NULL,250
WR13,4013,BE,NULL,154
WR14,4014,BE,NULL,267
WR15,4015,BE,NULL,183
WR 16,4016,BE,NULL,145
WR 17,4017,BE,NULL,148
Enterprise,4101,BE,NULL,123
Harrington,4102,BE,NULL,233
Red Mountain,4103,BE,NULL,167
Cascade,5602,BE,NULL,178
Clements,5603,BE,NULL,36
Finley,5606,BE,NULL,285
Hawthorne,5608,BE,NULL,130
Hedges,5609,BE,NULL,157
Jewel,5613,BE,NULL,26
Kennewick Valley,5615,BE,NULL,195
Umatilla,5619,BE,NULL,86
Vista,5621,BE,NULL,90
Washington,5622,BE,NULL,76
Yellowstone,5623,BE,NULL,107
Oak,5624,BE,NULL,105
Celilo,5625,BE,NULL,217
Randy,5626,BE,NULL,72
El Rancho,5627,BE,NULL,272
Mills,5628,BE,NULL,249
Ivey,5629,BE,NULL,151
Canyon,5630,BE,NULL,189
Miller,5631,BE,NULL,1
Candy,5632,BE,NULL,5
French,5633,BE,NULL,26
Shockley,5634,BE,NULL,4
Liberty,5635,BE,NULL,9
Gage,5636,BE,NULL,5
Orchard,5637,BE,NULL,9
White Bluffs,5638,BE,NULL,258
(none),5639,BE,NULL,177
105,6105,BE,NULL,136
110,6110,BE,NULL,159
115,6115,BE,NULL,114
120,6120,BE,NULL,190
125,6125,BE,NULL,129
130,6130,BE,NULL,157
135,6135,BE,NULL,149
140,6140,BE,NULL,139
145,6145,BE,NULL,240
150,6150,BE,NULL,236
151,6151,BE,NULL,339
155,6155,BE,NULL,278
160,6160,BE,NULL,231
165,6165,BE,NULL,133
170,6170,BE,NULL,152
175,6175,BE,NULL,320
180,6180,BE,NULL,105
185,6185,BE,NULL,82
186,6186,BE,NULL,63
190,6190,BE,NULL,191
195,6195,BE,NULL,151
200,6200,BE,NULL,149
205,6205,BE,NULL,135
210,6210,BE,NULL,142
215,6215,BE,NULL,130
220,6220,BE,NULL,109
225,6225,BE,NULL,161
230,6230,BE,NULL,135
235,6235,BE,NULL,113
240,6240,BE,NULL,259
245,6245,BE,NULL,152
250,6250,BE,NULL,198
255,6255,BE,NULL,177
260,6260,BE,NULL,146
265,6265,BE,NULL,164
270,6270,BE,NULL,203
271,6271,BE,NULL,100
275,6275,BE,NULL,81
278,6278,BE,NULL,228
279,6279,BE,NULL,88
280,6280,BE,NULL,233
281,6281,BE,NULL,254
282,6282,BE,NULL,294
283,6283,BE,NULL,151
284,6284,BE,NULL,181
285,6285,BE,NULL,295
286,6286,BE,NULL,142
287,6287,BE,NULL,133
288,6288,BE,NULL,183
289,6289,BE,NULL,287
290,6290,BE,NULL,223
291,6291,BE,NULL,246
292,6292,BE,NULL,154
293,6293,BE,NULL,115
295,6295,BE,NULL,190
300,6300,BE,NULL,186
301,6301,BE,NULL,189
305,6305,BE,NULL,172
310,6310,BE,NULL,207
311,6311,BE,NULL,0
315,6315,BE,NULL,296
316,6316,BE,NULL,0
320,6320,BE,NULL,264
