Row Label,PrecinctCode,County,Registered Voters,Sharon Brown,Doug McKinley
W3 - P500,3500,BE,NULL,32,32
W3 - P505,3505,BE,NULL,143,70
W3 - P510,3510,BE,NULL,93,45
W3 - P515,3515,BE,NULL,104,57
W3-P516,3516,BE,NULL,10,5
W3 - P520,3520,BE,NULL,73,36
W3 - P525,3525,BE,NULL,129,70
W3 - P530,3530,BE,NULL,101,57
W3 - P535,3535,BE,NULL,96,31
W3 - P540,3540,BE,NULL,200,77
W3 - P545,3545,BE,NULL,118,42
W3 - P550,3550,BE,NULL,252,76
W3 - P551,3551,BE,NULL,192,72
W3 - P552,3552,BE,NULL,249,59
W3 - P553,3553,BE,NULL,200,83
W3 - P555,3555,BE,NULL,180,62
W3 - P556,3556,BE,NULL,294,93
W3 - P557,3557,BE,NULL,278,65
W3 - P558,3558,BE,NULL,334,77
W3 - P559,3559,BE,NULL,289,89
W3 - P560,3560,BE,NULL,124,42
WR 1,4001,BE,NULL,110,58
WR 2,4002,BE,NULL,126,50
WR 3,4003,BE,NULL,102,41
WR 4,4004,BE,NULL,325,99
WR 5,4005,BE,NULL,96,28
WR 6,4006,BE,NULL,312,111
WR 7,4007,BE,NULL,290,105
WR 8,4008,BE,NULL,309,99
WR 9,4009,BE,NULL,169,66
WR 10,4010,BE,NULL,23,5
WR 11,4011,BE,NULL,248,60
WR12,4012,BE,NULL,299,85
WR13,4013,BE,NULL,190,47
WR14,4014,BE,NULL,321,110
WR15,4015,BE,NULL,212,54
WR 16,4016,BE,NULL,169,35
WR 17,4017,BE,NULL,181,49
Enterprise,4101,BE,NULL,169,57
Harrington,4102,BE,NULL,311,73
Clements,5603,BE,NULL,49,21
Hawthorne,5608,BE,NULL,132,56
Umatilla,5619,BE,NULL,96,39
Vista,5621,BE,NULL,116,20
Yellowstone,5623,BE,NULL,120,51
Miller(*),5631,BE,NULL,0,0
Candy,5632,BE,NULL,4,2
Shockley(*),5634,BE,NULL,0,0
Liberty,5635,BE,NULL,9,2
Gage(*),5636,BE,NULL,0,0
Orchard,5637,BE,NULL,14,4
105,6105,BE,NULL,135,54
110,6110,BE,NULL,177,88
115,6115,BE,NULL,125,95
120,6120,BE,NULL,227,94
125,6125,BE,NULL,159,53
130,6130,BE,NULL,174,103
135,6135,BE,NULL,172,89
140,6140,BE,NULL,163,81
145,6145,BE,NULL,280,121
150,6150,BE,NULL,301,86
151,6151,BE,NULL,354,162
155,6155,BE,NULL,322,85
160,6160,BE,NULL,230,127
165,6165,BE,NULL,134,79
170,6170,BE,NULL,155,71
175,6175,BE,NULL,368,123
180,6180,BE,NULL,97,63
185,6185,BE,NULL,75,57
186,6186,BE,NULL,75,39
190,6190,BE,NULL,216,98
195,6195,BE,NULL,173,74
200,6200,BE,NULL,148,80
205,6205,BE,NULL,137,59
210,6210,BE,NULL,156,51
215,6215,BE,NULL,138,70
220,6220,BE,NULL,113,74
225,6225,BE,NULL,184,67
230,6230,BE,NULL,118,73
235,6235,BE,NULL,139,49
240,6240,BE,NULL,279,116
245,6245,BE,NULL,161,48
250,6250,BE,NULL,187,79
255,6255,BE,NULL,182,84
260,6260,BE,NULL,162,60
265,6265,BE,NULL,156,89
270,6270,BE,NULL,223,99
271,6271,BE,NULL,118,37
275,6275,BE,NULL,87,49
278,6278,BE,NULL,268,80
279,6279,BE,NULL,99,32
280,6280,BE,NULL,282,99
281,6281,BE,NULL,311,121
282,6282,BE,NULL,359,105
283,6283,BE,NULL,187,74
284,6284,BE,NULL,209,45
285,6285,BE,NULL,367,122
286,6286,BE,NULL,201,47
287,6287,BE,NULL,119,61
288,6288,BE,NULL,207,73
289,6289,BE,NULL,346,108
290,6290,BE,NULL,256,85
291,6291,BE,NULL,248,110
292,6292,BE,NULL,164,59
293,6293,BE,NULL,152,27
295,6295,BE,NULL,239,67
300,6300,BE,NULL,217,73
301,6301,BE,NULL,214,83
305,6305,BE,NULL,225,85
310,6310,BE,NULL,241,86
315,6315,BE,NULL,381,113
316,6316,BE,NULL,0,0
320,6320,BE,NULL,357,92
