Row Label,PrecinctCode,County,Registered Voters,Duane A. Davidson
Benton South,3002,BE,NULL,193
Benton East,3003,BE,NULL,0
Legion,3101,BE,NULL,199
Kiona,3102,BE,NULL,322
Roza,3103,BE,NULL,0
Yakima,3104,BE,NULL,4
Demoss,3105,BE,NULL,15
Edgewater,3106,BE,NULL,176
Cherry,3107,BE,NULL,234
W3 - P500,3500,BE,NULL,36
W3 - P505,3505,BE,NULL,164
W3 - P510,3510,BE,NULL,108
W3-P511,3511,BE,NULL,19
W3 - P515,3515,BE,NULL,118
W3-P516,3516,BE,NULL,10
W3 - P520,3520,BE,NULL,78
W3 - P525,3525,BE,NULL,128
W3 - P530,3530,BE,NULL,126
W3 - P535,3535,BE,NULL,100
W3 - P540,3540,BE,NULL,213
W3 - P545,3545,BE,NULL,121
W3 - P550,3550,BE,NULL,253
W3 - P551,3551,BE,NULL,200
W3 - P552,3552,BE,NULL,228
W3 - P553,3553,BE,NULL,219
W3 - P555,3555,BE,NULL,198
W3 - P556,3556,BE,NULL,287
W3 - P557,3557,BE,NULL,256
W3 - P558,3558,BE,NULL,322
W3 - P559,3559,BE,NULL,297
W3 - P560,3560,BE,NULL,112
WR 1,4001,BE,NULL,117
WR 2,4002,BE,NULL,136
WR 3,4003,BE,NULL,114
WR 4,4004,BE,NULL,300
WR 5,4005,BE,NULL,92
WR 6,4006,BE,NULL,289
WR 7,4007,BE,NULL,271
WR 8,4008,BE,NULL,291
WR 9,4009,BE,NULL,168
WR 10,4010,BE,NULL,22
WR 11,4011,BE,NULL,242
WR12,4012,BE,NULL,277
WR13,4013,BE,NULL,177
WR14,4014,BE,NULL,304
WR15,4015,BE,NULL,207
WR 16,4016,BE,NULL,162
WR 17,4017,BE,NULL,172
Enterprise,4101,BE,NULL,141
Harrington,4102,BE,NULL,289
Red Mountain,4103,BE,NULL,196
Cascade,5602,BE,NULL,208
Clements,5603,BE,NULL,52
Finley,5606,BE,NULL,324
Hawthorne,5608,BE,NULL,142
Hedges,5609,BE,NULL,170
Jewel,5613,BE,NULL,28
Kennewick Valley,5615,BE,NULL,215
Umatilla,5619,BE,NULL,88
Vista,5621,BE,NULL,104
Washington,5622,BE,NULL,81
Yellowstone,5623,BE,NULL,123
Oak,5624,BE,NULL,104
Celilo,5625,BE,NULL,236
Randy,5626,BE,NULL,94
El Rancho,5627,BE,NULL,327
Mills,5628,BE,NULL,278
Ivey,5629,BE,NULL,164
Canyon,5630,BE,NULL,215
Miller,5631,BE,NULL,1
Candy,5632,BE,NULL,5
French,5633,BE,NULL,29
Shockley,5634,BE,NULL,4
Liberty,5635,BE,NULL,9
Gage,5636,BE,NULL,4
Orchard,5637,BE,NULL,13
White Bluffs,5638,BE,NULL,294
(none),5639,BE,NULL,216
105,6105,BE,NULL,150
110,6110,BE,NULL,182
115,6115,BE,NULL,134
120,6120,BE,NULL,215
125,6125,BE,NULL,147
130,6130,BE,NULL,175
135,6135,BE,NULL,176
140,6140,BE,NULL,151
145,6145,BE,NULL,284
150,6150,BE,NULL,284
151,6151,BE,NULL,384
155,6155,BE,NULL,307
160,6160,BE,NULL,252
165,6165,BE,NULL,148
170,6170,BE,NULL,169
175,6175,BE,NULL,365
180,6180,BE,NULL,120
185,6185,BE,NULL,95
186,6186,BE,NULL,65
190,6190,BE,NULL,215
195,6195,BE,NULL,174
200,6200,BE,NULL,174
205,6205,BE,NULL,157
210,6210,BE,NULL,157
215,6215,BE,NULL,145
220,6220,BE,NULL,124
225,6225,BE,NULL,174
230,6230,BE,NULL,138
235,6235,BE,NULL,131
240,6240,BE,NULL,287
245,6245,BE,NULL,168
250,6250,BE,NULL,205
255,6255,BE,NULL,194
260,6260,BE,NULL,165
265,6265,BE,NULL,170
270,6270,BE,NULL,241
271,6271,BE,NULL,111
275,6275,BE,NULL,81
278,6278,BE,NULL,256
279,6279,BE,NULL,89
280,6280,BE,NULL,273
281,6281,BE,NULL,300
282,6282,BE,NULL,336
283,6283,BE,NULL,184
284,6284,BE,NULL,205
285,6285,BE,NULL,347
286,6286,BE,NULL,174
287,6287,BE,NULL,145
288,6288,BE,NULL,204
289,6289,BE,NULL,338
290,6290,BE,NULL,245
291,6291,BE,NULL,266
292,6292,BE,NULL,180
293,6293,BE,NULL,135
295,6295,BE,NULL,221
300,6300,BE,NULL,206
301,6301,BE,NULL,222
305,6305,BE,NULL,209
310,6310,BE,NULL,247
311,6311,BE,NULL,0
315,6315,BE,NULL,362
316,6316,BE,NULL,0
320,6320,BE,NULL,317
