Row Label,PrecinctCode,County,Registered Voters,Bill Spencer,Mary M. Phillips
110,6110,BE,NULL,116,112
115,6115,BE,NULL,77,113
120,6120,BE,NULL,130,158
125,6125,BE,NULL,93,92
130,6130,BE,NULL,102,147
135,6135,BE,NULL,98,127
140,6140,BE,NULL,90,119
145,6145,BE,NULL,163,189
150,6150,BE,NULL,180,162
151,6151,BE,NULL,196,251
155,6155,BE,NULL,213,158
160,6160,BE,NULL,132,195
165,6165,BE,NULL,85,100
170,6170,BE,NULL,111,89
175,6175,BE,NULL,261,185
180,6180,BE,NULL,65,81
185,6185,BE,NULL,48,67
186,6186,BE,NULL,56,42
190,6190,BE,NULL,137,150
195,6195,BE,NULL,127,87
200,6200,BE,NULL,111,96
205,6205,BE,NULL,100,84
210,6210,BE,NULL,111,80
215,6215,BE,NULL,93,96
220,6220,BE,NULL,84,84
225,6225,BE,NULL,110,101
230,6230,BE,NULL,95,67
235,6235,BE,NULL,102,72
240,6240,BE,NULL,168,187
245,6245,BE,NULL,101,86
250,6250,BE,NULL,131,108
255,6255,BE,NULL,133,101
260,6260,BE,NULL,110,88
265,6265,BE,NULL,119,100
270,6270,BE,NULL,154,134
271,6271,BE,NULL,76,65
275,6275,BE,NULL,71,40
278,6278,BE,NULL,170,147
279,6279,BE,NULL,70,47
280,6280,BE,NULL,194,140
281,6281,BE,NULL,184,204
282,6282,BE,NULL,218,189
283,6283,BE,NULL,117,117
284,6284,BE,NULL,128,115
285,6285,BE,NULL,237,204
286,6286,BE,NULL,117,104
287,6287,BE,NULL,85,81
288,6288,BE,NULL,147,102
289,6289,BE,NULL,214,192
290,6290,BE,NULL,156,138
291,6291,BE,NULL,168,149
292,6292,BE,NULL,111,97
293,6293,BE,NULL,93,72
295,6295,BE,NULL,153,123
300,6300,BE,NULL,158,106
301,6301,BE,NULL,134,138
305,6305,BE,NULL,146,132
310,6310,BE,NULL,162,141
311,6311,BE,NULL,0,0
315,6315,BE,NULL,246,195
316,6316,BE,NULL,0,0
320,6320,BE,NULL,233,166
