Row Label,PrecinctCode,County,Registered Voters,Andy Miller
Orchard,5637,BE,NULL,11
White Bluffs,5638,BE,NULL,265
(none),5639,BE,NULL,185
105,6105,BE,NULL,137
110,6110,BE,NULL,186
115,6115,BE,NULL,152
120,6120,BE,NULL,234
125,6125,BE,NULL,146
130,6130,BE,NULL,187
135,6135,BE,NULL,178
140,6140,BE,NULL,164
145,6145,BE,NULL,277
150,6150,BE,NULL,263
151,6151,BE,NULL,371
155,6155,BE,NULL,308
160,6160,BE,NULL,269
165,6165,BE,NULL,148
170,6170,BE,NULL,152
175,6175,BE,NULL,354
180,6180,BE,NULL,122
185,6185,BE,NULL,98
186,6186,BE,NULL,73
190,6190,BE,NULL,219
195,6195,BE,NULL,173
200,6200,BE,NULL,169
205,6205,BE,NULL,127
210,6210,BE,NULL,148
215,6215,BE,NULL,145
220,6220,BE,NULL,126
225,6225,BE,NULL,179
230,6230,BE,NULL,133
235,6235,BE,NULL,127
240,6240,BE,NULL,291
245,6245,BE,NULL,155
250,6250,BE,NULL,194
255,6255,BE,NULL,181
260,6260,BE,NULL,160
265,6265,BE,NULL,171
270,6270,BE,NULL,233
271,6271,BE,NULL,100
275,6275,BE,NULL,84
278,6278,BE,NULL,224
279,6279,BE,NULL,85
280,6280,BE,NULL,256
281,6281,BE,NULL,298
282,6282,BE,NULL,300
283,6283,BE,NULL,180
284,6284,BE,NULL,178
285,6285,BE,NULL,349
286,6286,BE,NULL,159
287,6287,BE,NULL,140
288,6288,BE,NULL,188
289,6289,BE,NULL,299
290,6290,BE,NULL,243
291,6291,BE,NULL,250
292,6292,BE,NULL,155
293,6293,BE,NULL,120
295,6295,BE,NULL,206
300,6300,BE,NULL,203
301,6301,BE,NULL,210
305,6305,BE,NULL,194
310,6310,BE,NULL,211
311,6311,BE,NULL,0
315,6315,BE,NULL,341
316,6316,BE,NULL,0
320,6320,BE,NULL,288
