Row Label,PrecinctCode,County,Registered Voters,Clint Didier,Dan Newhouse
130,6130,BE,NULL,86,167
135,6135,BE,NULL,84,167
140,6140,BE,NULL,85,150
145,6145,BE,NULL,141,257
150,6150,BE,NULL,155,225
151,6151,BE,NULL,163,322
155,6155,BE,NULL,194,206
160,6160,BE,NULL,152,209
165,6165,BE,NULL,99,107
170,6170,BE,NULL,109,108
175,6175,BE,NULL,223,257
180,6180,BE,NULL,60,98
185,6185,BE,NULL,44,87
186,6186,BE,NULL,58,52
190,6190,BE,NULL,128,181
195,6195,BE,NULL,104,136
200,6200,BE,NULL,122,100
205,6205,BE,NULL,90,103
210,6210,BE,NULL,107,96
215,6215,BE,NULL,99,102
220,6220,BE,NULL,88,95
225,6225,BE,NULL,110,116
230,6230,BE,NULL,79,95
235,6235,BE,NULL,90,93
240,6240,BE,NULL,188,180
245,6245,BE,NULL,104,89
250,6250,BE,NULL,120,148
255,6255,BE,NULL,125,127
260,6260,BE,NULL,108,110
265,6265,BE,NULL,116,119
270,6270,BE,NULL,130,188
271,6271,BE,NULL,79,70
275,6275,BE,NULL,65,52
278,6278,BE,NULL,161,182
279,6279,BE,NULL,62,58
280,6280,BE,NULL,134,246
281,6281,BE,NULL,166,269
282,6282,BE,NULL,214,238
283,6283,BE,NULL,108,146
284,6284,BE,NULL,114,136
285,6285,BE,NULL,223,248
286,6286,BE,NULL,120,116
287,6287,BE,NULL,80,94
288,6288,BE,NULL,104,163
289,6289,BE,NULL,207,226
290,6290,BE,NULL,171,161
291,6291,BE,NULL,166,160
292,6292,BE,NULL,83,137
293,6293,BE,NULL,89,86
295,6295,BE,NULL,144,152
300,6300,BE,NULL,123,157
301,6301,BE,NULL,105,180
305,6305,BE,NULL,117,185
310,6310,BE,NULL,128,195
311,6311,BE,NULL,0,0
315,6315,BE,NULL,189,296
316,6316,BE,NULL,0,0
320,6320,BE,NULL,200,235
