Row Label,PrecinctCode,County,Registered Voters,Brenda Chilton
W3 - P535,3535,BE,NULL,100
W3 - P540,3540,BE,NULL,228
W3 - P545,3545,BE,NULL,127
W3 - P550,3550,BE,NULL,269
W3 - P551,3551,BE,NULL,218
W3 - P552,3552,BE,NULL,250
W3 - P553,3553,BE,NULL,232
W3 - P555,3555,BE,NULL,209
W3 - P556,3556,BE,NULL,311
W3 - P557,3557,BE,NULL,268
W3 - P558,3558,BE,NULL,339
W3 - P559,3559,BE,NULL,323
W3 - P560,3560,BE,NULL,118
WR 1,4001,BE,NULL,126
WR 2,4002,BE,NULL,140
WR 3,4003,BE,NULL,115
WR 4,4004,BE,NULL,327
WR 5,4005,BE,NULL,98
WR 6,4006,BE,NULL,309
WR 7,4007,BE,NULL,290
WR 8,4008,BE,NULL,313
WR 9,4009,BE,NULL,189
WR 10,4010,BE,NULL,23
WR 11,4011,BE,NULL,258
WR12,4012,BE,NULL,300
WR13,4013,BE,NULL,195
WR14,4014,BE,NULL,337
WR15,4015,BE,NULL,219
WR 16,4016,BE,NULL,172
WR 17,4017,BE,NULL,184
Enterprise,4101,BE,NULL,159
Harrington,4102,BE,NULL,310
Red Mountain,4103,BE,NULL,209
Cascade,5602,BE,NULL,211
Clements,5603,BE,NULL,52
Finley,5606,BE,NULL,334
Hawthorne,5608,BE,NULL,155
Hedges,5609,BE,NULL,182
Jewel,5613,BE,NULL,30
Kennewick Valley,5615,BE,NULL,226
Umatilla,5619,BE,NULL,94
Vista,5621,BE,NULL,111
Washington,5622,BE,NULL,86
Yellowstone,5623,BE,NULL,128
Oak,5624,BE,NULL,113
Celilo,5625,BE,NULL,266
Randy,5626,BE,NULL,98
El Rancho,5627,BE,NULL,357
Mills,5628,BE,NULL,282
Ivey,5629,BE,NULL,169
Canyon,5630,BE,NULL,230
Miller,5631,BE,NULL,1
Candy,5632,BE,NULL,6
French,5633,BE,NULL,33
Shockley,5634,BE,NULL,4
Liberty,5635,BE,NULL,10
Gage,5636,BE,NULL,4
Orchard,5637,BE,NULL,13
White Bluffs,5638,BE,NULL,317
(none),5639,BE,NULL,226
105,6105,BE,NULL,154
110,6110,BE,NULL,191
115,6115,BE,NULL,146
120,6120,BE,NULL,231
125,6125,BE,NULL,160
130,6130,BE,NULL,188
135,6135,BE,NULL,186
140,6140,BE,NULL,164
145,6145,BE,NULL,302
150,6150,BE,NULL,300
151,6151,BE,NULL,409
155,6155,BE,NULL,329
160,6160,BE,NULL,275
165,6165,BE,NULL,156
170,6170,BE,NULL,180
175,6175,BE,NULL,395
180,6180,BE,NULL,123
185,6185,BE,NULL,96
186,6186,BE,NULL,71
190,6190,BE,NULL,236
195,6195,BE,NULL,184
200,6200,BE,NULL,182
205,6205,BE,NULL,163
210,6210,BE,NULL,165
215,6215,BE,NULL,157
220,6220,BE,NULL,131
225,6225,BE,NULL,180
230,6230,BE,NULL,146
235,6235,BE,NULL,143
240,6240,BE,NULL,314
245,6245,BE,NULL,175
250,6250,BE,NULL,212
255,6255,BE,NULL,205
260,6260,BE,NULL,174
265,6265,BE,NULL,178
270,6270,BE,NULL,258
271,6271,BE,NULL,118
275,6275,BE,NULL,96
278,6278,BE,NULL,268
279,6279,BE,NULL,101
280,6280,BE,NULL,291
281,6281,BE,NULL,329
282,6282,BE,NULL,356
283,6283,BE,NULL,197
284,6284,BE,NULL,216
285,6285,BE,NULL,370
286,6286,BE,NULL,185
287,6287,BE,NULL,149
288,6288,BE,NULL,217
289,6289,BE,NULL,362
290,6290,BE,NULL,259
291,6291,BE,NULL,280
292,6292,BE,NULL,184
293,6293,BE,NULL,150
295,6295,BE,NULL,232
300,6300,BE,NULL,223
301,6301,BE,NULL,232
305,6305,BE,NULL,230
310,6310,BE,NULL,261
311,6311,BE,NULL,0
315,6315,BE,NULL,390
316,6316,BE,NULL,0
320,6320,BE,NULL,343
