Row Label,PrecinctCode,County,Registered Voters,Approved,Rejected
PCT 6221,6221,SP,NULL,535,151
PCT 6222,6222,SP,NULL,387,71
PCT 6223,6223,SP,NULL,559,87
PCT 6224,6224,SP,NULL,461,60
PCT 6225,6225,SP,NULL,481,104
PCT 6300,6300,SP,NULL,593,208
PCT 6301,6301,SP,NULL,562,204
PCT 6302,6302,SP,NULL,276,92
PCT 6303,6303,SP,NULL,575,173
PCT 6304,6304,SP,NULL,514,166
PCT 6305,6305,SP,NULL,257,89
PCT 6306,6306,SP,NULL,353,140
PCT 6307,6307,SP,NULL,188,90
PCT 6308,6308,SP,NULL,251,63
PCT 6309,6309,SP,NULL,416,109
PCT 6310,6310,SP,NULL,352,98
PCT 6311,6311,SP,NULL,319,118
PCT 6312,6312,SP,NULL,323,105
PCT 6313,6313,SP,NULL,420,121
PCT 6314,6314,SP,NULL,348,129
PCT 6315,6315,SP,NULL,225,88
PCT 6316,6316,SP,NULL,219,34
PCT 6317,6317,SP,NULL,288,101
PCT 6318,6318,SP,NULL,345,85
